NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	NA	4	2.8138701915740967	0.00480721	No	
row_1	LATS2	NA	423	1.1257160902023315	-0.01033931	No	
row_2	SOCS3	NA	572	1.0022804737091064	-0.012472528	No	
row_3	PARP14	NA	606	0.97554612159729	-0.009063043	No	
row_4	FAS	NA	821	0.8652697205543518	-0.01437729	No	
row_5	RNF31	NA	907	0.831495463848114	-0.0134740705	No	
row_6	CD40	NA	996	0.8031492829322815	-0.012715443	No	
row_7	IL10RA	NA	1035	0.7896730899810791	-0.009546945	No	
row_8	HERC6	NA	1107	0.7641955614089966	-0.007968962	No	
row_9	DDX58	NA	1182	0.739311158657074	-0.0065355706	No	
row_10	MARCHF1	NA	1632	0.6246509552001953	-0.023176212	No	
row_11	NFKBIA	NA	2054	0.5488705039024353	-0.038467325	No	
row_12	BANK1	NA	2155	0.53607577085495	-0.038287066	No	
row_13	SELP	NA	2169	0.5346932411193848	-0.03391363	No	
row_14	TNFAIP6	NA	2289	0.5199477672576904	-0.034649126	No	
row_15	TXNIP	NA	2364	0.5093569755554199	-0.033215735	No	
row_16	CD69	NA	2493	0.49227195978164673	-0.034385003	No	
row_17	SLC25A28	NA	2525	0.488436222076416	-0.030879123	No	
row_18	CFB	NA	2856	0.44838687777519226	-0.04178427	No	
row_19	ZBP1	NA	2876	0.44641026854515076	-0.03770002	No	
row_20	PTPN2	NA	2932	0.4425479769706726	-0.035350878	No	
row_21	SSPN	NA	2946	0.44154274463653564	-0.030977447	No	
row_22	GBP6	NA	2994	0.4391268491744995	-0.028242724	No	
row_23	IFITM3	NA	3038	0.43395400047302246	-0.025315214	No	
row_24	JAK2	NA	3044	0.4332467317581177	-0.0205562	No	
row_25	METTL7B	NA	3130	0.4224112033843994	-0.019652981	No	
row_26	B2M	NA	3208	0.414569228887558	-0.018364184	No	
row_27	XCL1	NA	3245	0.41071903705596924	-0.01509929	No	
row_28	LYSMD2	NA	3287	0.4066541790962219	-0.012075384	No	
row_29	IFI44	NA	3329	0.4025505483150482	-0.0090514785	No	
row_30	CASP8	NA	3717	0.36681485176086426	-0.022703879	No	
row_31	STAT2	NA	3782	0.3631540834903717	-0.020788513	No	
row_32	PSMA3	NA	3902	0.35249584913253784	-0.021524007	No	
row_33	CD86	NA	4056	0.33769553899765015	-0.02389821	No	
row_34	STAT1	NA	4193	0.3278939127922058	-0.025453059	No	
row_35	EPSTI1	NA	4250	0.3225669264793396	-0.023152115	No	
row_36	IDO1	NA	4251	0.32256025075912476	-0.018152116	No	
row_37	IFNAR2	NA	4482	0.3059012293815613	-0.024237521	No	
row_38	VAMP8	NA	4497	0.3040902316570282	-0.019912286	No	
row_39	NUP93	NA	4641	0.29441550374031067	-0.021804515	No	
row_40	SOCS1	NA	4738	0.28830185532569885	-0.021431468	No	
row_41	CXCL9	NA	4871	0.279132604598999	-0.022793528	No	
row_42	SLAMF7	NA	4900	0.2770765423774719	-0.019143054	No	
row_43	MT2A	NA	5050	0.2676723003387451	-0.02132447	No	
row_44	IFIT3	NA	5092	0.2650395631790161	-0.018300565	No	
row_45	VAMP5	NA	5175	0.2604312598705292	-0.017252753	No	
row_46	HLA-DQA1	NA	5191	0.2591421604156494	-0.012975714	No	
row_47	IFITM2	NA	5210	0.2577465772628784	-0.008843267	No	
row_48	IFIT1	NA	5536	0.24097219109535217	-0.019507429	No	
row_49	SAMHD1	NA	5695	0.23244968056678772	-0.02212262	No	
row_50	RBCK1	NA	5742	0.23038630187511444	-0.019339701	No	
row_51	PDE4B	NA	5949	0.2191278636455536	-0.024268368	No	
row_52	XAF1	NA	5954	0.218990758061409	-0.019461159	No	
row_53	RIPK2	NA	6058	0.21415340900421143	-0.019425493	No	
row_54	STAT3	NA	6140	0.20923471450805664	-0.018329484	No	
row_55	PLA2G4A	NA	6145	0.20890982449054718	-0.013522274	No	
row_56	TRIM14	NA	6153	0.2085617631673813	-0.008859656	No	
row_57	IRF4	NA	6156	0.20841321349143982	-0.0039560506	No	
row_58	HLA-DRB1	NA	6192	0.20729048550128937	-6.4296013E-4	No	
row_59	IFIT2	NA	6373	0.19815200567245483	-0.0043184953	No	
row_60	IRF5	NA	6382	0.19786080718040466	2.9592533E-4	No	
row_61	TAP1	NA	6390	0.19742383062839508	0.0049585435	No	
row_62	FCGR1A	NA	6441	0.19526755809783936	0.007548672	No	
row_63	KLRK1	NA	6774	0.18090792000293732	-0.00345287	No	
row_64	PELI1	NA	6928	0.17427267134189606	-0.005827075	No	
row_65	NCOA3	NA	6946	0.1736249029636383	-0.0016464312	No	
row_66	SERPING1	NA	7162	0.16598628461360931	-0.0070088757	No	
row_67	BPGM	NA	7214	0.16351062059402466	-0.0044669444	No	
row_68	IFIH1	NA	7235	0.16269837319850922	-4.308926E-4	No	
row_69	CD74	NA	7491	0.15332186222076416	-0.007721234	No	
row_70	CCL5	NA	7494	0.15326975286006927	-0.002817629	No	
row_71	CIITA	NA	7760	0.1431424617767334	-0.010589944	No	
row_72	CXCL10	NA	7844	0.14033611118793488	-0.0095903305	No	
row_73	IL6	NA	7852	0.1399361491203308	-0.004927712	No	
row_74	FPR1	NA	8116	0.13042578101158142	-0.012603633	No	
row_75	NAMPT	NA	8388	0.11994051933288574	-0.020665133	No	
row_76	NOD1	NA	8440	0.11820554733276367	-0.018123202	No	
row_77	ARID5B	NA	8583	0.11466401815414429	-0.019967234	No	
row_78	CMKLR1	NA	8686	0.11146792024374008	-0.019883372	No	
row_79	CASP3	NA	8919	0.10400260239839554	-0.026065173	No	
row_80	RSAD2	NA	8972	0.10217678546905518	-0.023571437	No	
row_81	IL18BP	NA	9177	0.09690714627504349	-0.02840371	No	
row_82	PTPN1	NA	9307	0.09329982101917267	-0.029621178	No	
row_83	CSF2RB	NA	9333	0.09239421039819717	-0.025826113	No	
row_84	BTG1	NA	9532	0.08658622950315475	-0.030369202	No	
row_85	BATF2	NA	9571	0.08513658493757248	-0.027200704	No	
row_86	CCL2	NA	9656	0.08274253457784653	-0.026249288	No	
row_87	CCL7	NA	9921	0.07521754503250122	-0.033973403	No	
row_88	IL7	NA	9968	0.07395658642053604	-0.031190487	No	
row_89	RTP4	NA	10043	0.07166250795125961	-0.029757096	No	
row_90	GBP4	NA	10241	0.06642989814281464	-0.034251988	No	
row_91	LCP2	NA	10304	0.06443435698747635	-0.032240227	No	
row_92	VCAM1	NA	10339	0.06357724964618683	-0.028878938	No	
row_93	CXCL11	NA	10353	0.06295042484998703	-0.024505505	No	
row_94	SAMD9L	NA	10457	0.05965718626976013	-0.02446984	No	
row_95	RAPGEF6	NA	10889	0.04884646087884903	-0.040242925	No	
row_96	ARL4A	NA	11066	0.044096559286117554	-0.04372567	No	
row_97	HLA-DMA	NA	11213	0.04097016155719757	-0.045762494	No	
row_98	CMTR1	NA	11246	0.04001762345433235	-0.04230481	No	
row_99	ICAM1	NA	11370	0.03696642816066742	-0.043233093	No	
row_100	TAPBP	NA	11377	0.03663208708167076	-0.038522277	No	
row_101	ST3GAL5	NA	11404	0.0359206460416317	-0.03477541	No	
row_102	TRAFD1	NA	11628	0.030785484239459038	-0.040523436	No	
row_103	HELZ2	NA	11720	0.02889237366616726	-0.0399094	No	
row_104	SOD2	NA	12187	0.02018073946237564	-0.057369396	No	
row_105	IL15	NA	12216	0.01937018893659115	-0.053718925	No	
row_106	C1S	NA	12239	0.018950190395116806	-0.049779266	No	
row_107	HLA-B	NA	12293	0.018122229725122452	-0.047333732	No	
row_108	BST2	NA	12297	0.018122229725122452	-0.042478323	No	
row_109	CD274	NA	12340	0.017056964337825775	-0.039502613	No	
row_110	ST8SIA4	NA	12358	0.01687457598745823	-0.03532197	No	
row_111	PSMB8	NA	12454	0.015220814384520054	-0.034900725	No	
row_112	PTGS2	NA	12640	0.011110448278486729	-0.03881725	No	
row_113	IRF9	NA	12644	0.011110448278486729	-0.03396184	No	
row_114	SP110	NA	12901	0.0050686015747487545	-0.04130038	No	
row_115	SPPL2A	NA	13050	0.00218281801789999	-0.043433595	No	
row_116	IRF2	NA	13245	-0.001045553362928331	-0.047783896	No	
row_117	OASL	NA	13308	-0.0020206060726195574	-0.045772135	No	
row_118	PSMA2	NA	13525	-0.006746568717062473	-0.051182777	No	
row_119	PSME1	NA	13535	-0.007051112130284309	-0.046616554	No	
row_120	OAS3	NA	13771	-0.011926282197237015	-0.052942947	No	
row_121	HLA-G	NA	13800	-0.012384967878460884	-0.049292475	No	
row_122	OAS2	NA	13894	-0.014658578671514988	-0.048774835	No	
row_123	CASP4	NA	13938	-0.015366715379059315	-0.045847323	No	
row_124	IFI35	NA	13995	-0.01671404018998146	-0.04354638	No	
row_125	RNF213	NA	14149	-0.020165758207440376	-0.045920584	No	
row_126	APOL6	NA	14239	-0.021931953728199005	-0.045210157	No	
row_127	PML	NA	14393	-0.0245790034532547	-0.04758436	No	
row_128	NMI	NA	14614	-0.02939978614449501	-0.05318779	No	
row_129	PSMB2	NA	14886	-0.03696642816066742	-0.061249293	No	
row_130	HLA-A	NA	15405	-0.055284831672906876	-0.08121555	No	
row_131	AUTS2	NA	15709	-0.06798545271158218	-0.090819374	No	
row_132	P2RY14	NA	15938	-0.07923633605241776	-0.09680838	No	
row_133	EIF2AK2	NA	15974	-0.08080729097127914	-0.093495294	No	
row_134	IFI44L	NA	16030	-0.08283647894859314	-0.09114615	No	
row_135	TOR1B	NA	16237	-0.09199987351894379	-0.09607482	No	
row_136	MTHFD2	NA	16253	-0.0932425856590271	-0.09179778	No	
row_137	FGL2	NA	16433	-0.10065802931785583	-0.095425114	No	
row_138	CD38	NA	16491	-0.1036883071064949	-0.09317237	No	
row_139	MX2	NA	16598	-0.10931473225355148	-0.0932813	No	
row_140	TNFAIP2	NA	16796	-0.1191067323088646	-0.09777619	No	
row_141	NLRC5	NA	16877	-0.12414942681789398	-0.09663198	No	
row_142	EIF4E3	NA	16903	-0.12566033005714417	-0.09283692	No	
row_143	DHX58	NA	17369	-0.15987911820411682	-0.110248715	No	
row_144	PLSCR1	NA	17653	-0.18194884061813354	-0.11888859	Yes	
row_145	DDX60	NA	17668	-0.18302613496780396	-0.114563346	Yes	
row_146	CASP1	NA	17680	-0.1839459091424942	-0.11009352	Yes	
row_147	UPP1	NA	17717	-0.1871989518404007	-0.10682863	Yes	
row_148	HIF1A	NA	17738	-0.19004610180854797	-0.102792576	Yes	
row_149	TRIM25	NA	17889	-0.20403556525707245	-0.105022185	Yes	
row_150	OGFR	NA	17984	-0.2124597132205963	-0.104552746	Yes	
row_151	GCH1	NA	18073	-0.22315843403339386	-0.10379412	Yes	
row_152	MX1	NA	18186	-0.23467858135700226	-0.10419223	Yes	
row_153	PIM1	NA	18221	-0.23901353776454926	-0.10083094	Yes	
row_154	PSME2	NA	18297	-0.24704231321811676	-0.099445745	Yes	
row_155	CMPK2	NA	18389	-0.25752273201942444	-0.09883171	Yes	
row_156	SECTM1	NA	18413	-0.26091164350509644	-0.09494025	Yes	
row_157	CDKN1A	NA	18570	-0.28289130330085754	-0.09745905	Yes	
row_158	ISOC1	NA	18606	-0.2898736298084259	-0.09414596	Yes	
row_159	IRF7	NA	18610	-0.29052892327308655	-0.08929055	Yes	
row_160	TNFSF10	NA	19017	-0.3613678812980652	-0.1038587	Yes	
row_161	IFI27	NA	19034	-0.36415544152259827	-0.099629864	Yes	
row_162	CASP7	NA	19202	-0.3978769779205322	-0.10267883	Yes	
row_163	IFI30	NA	19203	-0.39834505319595337	-0.09767883	Yes	
row_164	PSMB10	NA	19241	-0.4068054258823395	-0.094462134	Yes	
row_165	RIPK1	NA	19302	-0.4216768443584442	-0.09235398	Yes	
row_166	TDRD7	NA	19467	-0.46581360697746277	-0.095258355	Yes	
row_167	PSMB9	NA	19510	-0.4771532416343689	-0.092282645	Yes	
row_168	C1R	NA	19670	-0.5276933908462524	-0.094946034	Yes	
row_169	UBE2L6	NA	19721	-0.5411186218261719	-0.09235591	Yes	
row_170	MVP	NA	19761	-0.5586775541305542	-0.08923561	Yes	
row_171	IL15RA	NA	19864	-0.5984984636306763	-0.08915175	Yes	
row_172	IL4R	NA	19912	-0.6201785802841187	-0.08641703	Yes	
row_173	PTPN6	NA	19914	-0.6206007599830627	-0.08146522	Yes	
row_174	ITGB7	NA	19992	-0.655718207359314	-0.08017642	Yes	
row_175	USP18	NA	20017	-0.6674327254295349	-0.07633316	Yes	
row_176	PNP	NA	20052	-0.6882508993148804	-0.07297187	Yes	
row_177	TRIM26	NA	20061	-0.6915393471717834	-0.06835745	Yes	
