NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	NA	4	2.8138701915740967	0.00480721	Yes	
row_1	HBEGF	NA	146	1.5503487586975098	0.0030113743	Yes	
row_2	ALDH1A2	NA	157	1.523078203201294	0.0075294003	Yes	
row_3	SPP1	NA	341	1.1973841190338135	0.0037092727	Yes	
row_4	TSPAN13	NA	453	1.0956884622573853	0.0033593595	Yes	
row_5	BIRC3	NA	485	1.0583651065826416	0.0068652392	Yes	
row_6	MPZL2	NA	494	1.0488805770874023	0.01147966	Yes	
row_7	ZNF277	NA	513	1.0379568338394165	0.015612106	Yes	
row_8	RABGAP1L	NA	680	0.9274303913116455	0.012611335	Yes	
row_9	ETV4	NA	715	0.9149782657623291	0.015972624	Yes	
row_10	SERPINA3	NA	839	0.8589266538619995	0.01504434	Yes	
row_11	CXCR4	NA	842	0.8565343022346497	0.019947946	Yes	
row_12	HDAC9	NA	953	0.8167749047279358	0.01964623	Yes	
row_13	AVL9	NA	1011	0.7991064190864563	0.021898977	Yes	
row_14	IL10RA	NA	1035	0.7896730899810791	0.025790436	Yes	
row_15	CSF2RA	NA	1438	0.6643092036247253	0.011415075	Yes	
row_16	SATB1	NA	1449	0.6630268096923828	0.0159331	Yes	
row_17	MAFB	NA	1496	0.6538441777229309	0.018716019	Yes	
row_18	NRP1	NA	1707	0.6092678904533386	0.013594561	Yes	
row_19	ETV1	NA	1721	0.6057826280593872	0.017967995	Yes	
row_20	EREG	NA	1887	0.5737455487251282	0.0150154205	Yes	
row_21	SOX9	NA	1936	0.5672563910484314	0.017701944	Yes	
row_22	BMP2	NA	1940	0.5665690898895264	0.022557352	Yes	
row_23	EMP1	NA	1961	0.5622641444206238	0.026593404	Yes	
row_24	TOR1AIP2	NA	2061	0.5478061437606812	0.02682186	Yes	
row_25	PLAUR	NA	2318	0.5154783129692078	0.01948332	Yes	
row_26	RGS16	NA	2439	0.5003218054771423	0.018699631	Yes	
row_27	STRN	NA	2446	0.49902570247650146	0.023410447	Yes	
row_28	EVI5	NA	2507	0.49070683121681213	0.025518602	Yes	
row_29	CCSER2	NA	2515	0.4896179437637329	0.03018122	Yes	
row_30	ID2	NA	2668	0.46933671832084656	0.027855212	Yes	
row_31	CAB39L	NA	2738	0.4621521234512329	0.02952959	Yes	
row_32	PRKG2	NA	2787	0.4564491808414459	0.032216113	Yes	
row_33	VWA5A	NA	2790	0.45561978220939636	0.03711972	Yes	
row_34	H2BC3	NA	2828	0.4517538845539093	0.040336415	Yes	
row_35	CFB	NA	2856	0.44838687777519226	0.044035085	Yes	
row_36	LY96	NA	2874	0.4464508593082428	0.04821573	Yes	
row_37	KLF4	NA	3106	0.42453503608703613	0.042082123	Yes	
row_38	EPHB2	NA	3213	0.41358286142349243	0.0419732	Yes	
row_39	GLRX	NA	3243	0.4109031856060028	0.045575473	Yes	
row_40	ANKH	NA	3251	0.409939706325531	0.05023809	Yes	
row_41	AMMECR1	NA	3312	0.40425676107406616	0.052346244	Yes	
row_42	ABCB1	NA	3343	0.40081360936164856	0.055900324	Yes	
row_43	FGF9	NA	3379	0.3967737555503845	0.059213415	Yes	
row_44	NR1H4	NA	3398	0.3955608010292053	0.06334586	Yes	
row_45	SEMA3B	NA	3463	0.387373149394989	0.06526122	Yes	
row_46	PIGR	NA	3469	0.3872623145580292	0.070020236	Yes	
row_47	F13A1	NA	3662	0.37091660499572754	0.065766335	Yes	
row_48	MYCN	NA	3744	0.3655981123447418	0.066862345	Yes	
row_49	SNAP25	NA	3762	0.3643381893634796	0.071042985	Yes	
row_50	WDR33	NA	3904	0.3518122434616089	0.06924715	Yes	
row_51	ALDH1A3	NA	3934	0.3485700786113739	0.07284942	Yes	
row_52	TSPAN1	NA	4024	0.3402511179447174	0.07355986	Yes	
row_53	ADGRL4	NA	4041	0.3385802209377289	0.077788696	Yes	
row_54	CCL20	NA	4123	0.3328487277030945	0.078884706	Yes	
