NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC5	NA	21	2.2870256900787354	0.0040130285	Yes	
row_1	NEK2	NA	37	2.093432903289795	0.008315228	Yes	
row_2	KIF23	NA	58	1.9621713161468506	0.012376452	Yes	
row_3	NUSAP1	NA	77	1.823655366897583	0.016534066	Yes	
row_4	BUB1	NA	106	1.687174677848816	0.020209728	Yes	
row_5	CCNB2	NA	107	1.6838237047195435	0.025234854	Yes	
row_6	TTK	NA	142	1.5547624826431274	0.028621346	Yes	
row_7	AURKA	NA	185	1.4332332611083984	0.03162228	Yes	
row_8	PRC1	NA	199	1.4078001976013184	0.036020868	Yes	
row_9	MARCKS	NA	213	1.3721375465393066	0.040419456	Yes	
row_10	APC	NA	249	1.3212144374847412	0.043757755	Yes	
row_11	CDK1	NA	305	1.2379765510559082	0.04613215	Yes	
row_12	KIF20B	NA	372	1.1700519323349	0.0479764	Yes	
row_13	SEPTIN9	NA	430	1.1160049438476562	0.050254405	Yes	
row_14	KIF1B	NA	476	1.0686122179031372	0.053110752	Yes	
row_15	TOP2A	NA	484	1.0583651065826416	0.057798512	Yes	
row_16	EPB41L2	NA	520	1.0315076112747192	0.06113681	Yes	
row_17	PPP4R2	NA	613	0.973721444606781	0.061727986	Yes	
row_18	CCDC88A	NA	618	0.9692491292953491	0.06656033	Yes	
row_19	ALMS1	NA	637	0.9549658298492432	0.070717946	Yes	
row_20	PLK1	NA	733	0.9070835709571838	0.07116453	Yes	
row_21	ARHGEF12	NA	762	0.8933836817741394	0.0748402	Yes	
row_22	OPHN1	NA	909	0.8305529356002808	0.072828844	Yes	
row_23	CLIP1	NA	939	0.8203976154327393	0.07645631	Yes	
row_24	SORBS2	NA	991	0.8043785691261292	0.07902349	Yes	
row_25	NEDD9	NA	1081	0.7746574282646179	0.07975925	Yes	
row_26	TRIO	NA	1179	0.7402054667472839	0.08010945	Yes	
row_27	KIF2C	NA	1187	0.7369341254234314	0.08479721	Yes	
row_28	ECT2	NA	1233	0.7227389216423035	0.087653555	Yes	
row_29	KIF11	NA	1244	0.719404399394989	0.09219673	Yes	
row_30	FARP1	NA	1280	0.7092951536178589	0.095535025	Yes	
row_31	TPX2	NA	1319	0.6999484896659851	0.09872874	Yes	
row_32	FBXO5	NA	1355	0.6900830864906311	0.10206704	Yes	
row_33	SSH2	NA	1548	0.6438729166984558	0.09783871	Yes	
row_34	PIF1	NA	1562	0.6409906148910522	0.10223729	Yes	
row_35	NF1	NA	1584	0.6357342004776001	0.10625032	Yes	
row_36	ARHGAP29	NA	1587	0.6350565552711487	0.11117906	Yes	
row_37	CENPE	NA	1617	0.6276475787162781	0.114806525	Yes	
row_38	MID1	NA	1638	0.6240750551223755	0.11886775	Yes	
row_39	CEP57	NA	1719	0.6063653230667114	0.120037265	Yes	
row_40	AKAP13	NA	1728	0.6035611033439636	0.12467683	Yes	
row_41	CYTH2	NA	1983	0.5585223436355591	0.11746041	Yes	
row_42	ARHGEF7	NA	2203	0.5314525961875916	0.1119308	Yes	
row_43	NUMA1	NA	2561	0.48344334959983826	0.09975028	Yes	
row_44	NDC80	NA	2603	0.4778633117675781	0.10279941	Yes	
row_45	CDC27	NA	2624	0.4762834310531616	0.10686064	Yes	
row_46	RANBP9	NA	2705	0.46562331914901733	0.108030155	Yes	
row_47	NCK1	NA	2796	0.4550749957561493	0.10871772	Yes	
row_48	KIF22	NA	2913	0.44404202699661255	0.10815222	Yes	
row_49	KIF4A	NA	3114	0.4235500693321228	0.10353832	Yes	
row_50	ANLN	NA	3250	0.40994054079055786	0.10205711	Yes	
row_51	RICTOR	NA	3283	0.4067123234272003	0.10553999	Yes	
row_52	RABGAP1	NA	3308	0.4043159782886505	0.10940844	Yes	
row_53	DLGAP5	NA	3340	0.40094488859176636	0.112939514	Yes	
row_54	ESPL1	NA	3388	0.3962714970111847	0.11569947	Yes	
row_55	LRPPRC	NA	3615	0.3734801709651947	0.1098325	Yes	
row_56	KIF3B	NA	3697	0.3685818612575531	0.11095383	Yes	
row_57	DST	NA	3698	0.3684559762477875	0.115978956	Yes	
row_58	DYNC1H1	NA	3792	0.36259251832962036	0.11652193	Yes	
row_59	CENPF	NA	3825	0.36051779985427856	0.12000482	Yes	
row_60	ARF6	NA	3861	0.35652679204940796	0.12334312	Yes	
row_61	RACGAP1	NA	3878	0.35527631640434265	0.12759712	Yes	
row_62	KIF15	NA	3901	0.35249871015548706	0.13156195	Yes	
row_63	FSCN1	NA	3976	0.3437052071094513	0.13302064	Yes	
row_64	NET1	NA	4114	0.3330758213996887	0.13144304	Yes	
row_65	ABI1	NA	4215	0.32569435238838196	0.13164866	Yes	
row_66	ARHGEF11	NA	4280	0.3207409679889679	0.1335893	Yes	
row_67	CNTROB	NA	4286	0.32016488909721375	0.13837345	Yes	
row_68	SAC3D1	NA	4601	0.29827821254730225	0.1282653	Yes	
row_69	DLG1	NA	4801	0.2848373353481293	0.12369961	Yes	
row_70	KPTN	NA	4843	0.28130653500556946	0.12674874	Yes	
row_71	INCENP	NA	4918	0.27519533038139343	0.12820743	Yes	
row_72	WASL	NA	5024	0.2693425714969635	0.12817207	Yes	
row_73	SPTBN1	NA	5084	0.26549476385116577	0.13035369	Yes	
row_74	SMC1A	NA	5094	0.2650062143802643	0.13494505	Yes	
row_75	ITSN1	NA	5184	0.2597317099571228	0.13568082	Yes	
row_76	TUBD1	NA	5209	0.2577694356441498	0.13954926	Yes	
row_77	RHOF	NA	5276	0.2544569671154022	0.14139351	Yes	
row_78	PCM1	NA	5300	0.2537344694137573	0.14531015	Yes	
row_79	PCNT	NA	5470	0.24536265432834625	0.1421903	No	
row_80	SYNPO	NA	5717	0.23129130899906158	0.13535944	No	
row_81	CDC42BPA	NA	5928	0.21999497711658478	0.1302636	No	
row_82	CDC42EP2	NA	6084	0.2124680131673813	0.12781848	No	
row_83	CDC42EP1	NA	6110	0.21073554456233978	0.13163874	No	
row_84	WASF2	NA	6210	0.20609162747859955	0.13189255	No	
row_85	SMC3	NA	6266	0.20341457426548004	0.13426694	No	
row_86	RASAL2	NA	6465	0.19368405640125275	0.12974943	No	
row_87	ALS2	NA	6506	0.19179770350456238	0.13284676	No	
row_88	RAPGEF5	NA	6513	0.1914234608411789	0.1375827	No	
row_89	EZR	NA	6712	0.18354517221450806	0.13306521	No	
row_90	ARHGEF2	NA	7082	0.16924554109573364	0.12030634	No	
row_91	CDC42	NA	7320	0.15979169309139252	0.11390923	No	
row_92	BCAR1	NA	7497	0.15299975872039795	0.110452026	No	
row_93	RALBP1	NA	7994	0.1351328194141388	0.09157238	No	
row_94	RFC1	NA	8136	0.12952467799186707	0.089802	No	
row_95	VCL	NA	8176	0.12781795859336853	0.09294752	No	
row_96	DOCK4	NA	8188	0.12739667296409607	0.0974425	No	
row_97	KIF5B	NA	8238	0.12557139992713928	0.10010606	No	
row_98	CNTRL	NA	8288	0.12386307865381241	0.10276963	No	
row_99	CEP72	NA	8369	0.12065988034009933	0.103939146	No	
row_100	CTTN	NA	8391	0.11983108520507812	0.10795218	No	
row_101	SHROOM1	NA	8757	0.10931473225355148	0.095386095	No	
row_102	ARHGAP5	NA	8810	0.10735758394002914	0.09790508	No	
row_103	PCGF5	NA	8859	0.10551269352436066	0.100616835	No	
row_104	ARHGAP27	NA	8872	0.10533415526151657	0.10506362	No	
row_105	BCL2L11	NA	8985	0.10180846601724625	0.104690894	No	
row_106	CDK5RAP2	NA	9106	0.09894009679555893	0.10393261	No	
row_107	FGD4	NA	9174	0.09697069227695465	0.10572866	No	
row_108	SOS1	NA	9310	0.09329982101917267	0.10424745	No	
row_109	STK38L	NA	9325	0.09276476502418518	0.108597845	No	
row_110	TLK1	NA	9526	0.08679650723934174	0.10398395	No	
row_111	CENPJ	NA	9529	0.08673308789730072	0.10891269	No	
row_112	SPTAN1	NA	9603	0.08439314365386963	0.11041957	No	
row_113	NCK2	NA	9821	0.07826818525791168	0.10498636	No	
row_114	ROCK1	NA	9837	0.07771381735801697	0.10928856	No	
row_115	CAPZB	NA	9845	0.07745134830474854	0.11397632	No	
row_116	CEP192	NA	9866	0.07708754390478134	0.118037544	No	
row_117	TUBGCP2	NA	9919	0.07521754503250122	0.120556526	No	
row_118	CLASP1	NA	10149	0.0687996968626976	0.11454497	No	
row_119	MAP3K11	NA	10483	0.05918969213962555	0.10352114	No	
row_120	KIF3C	NA	10506	0.05849236622452736	0.10748597	No	
row_121	SUN2	NA	10558	0.05727578327059746	0.110053144	No	
row_122	PDLIM5	NA	10792	0.05151071771979332	0.103848815	No	
row_123	PLEKHG2	NA	10859	0.049763746559619904	0.105693065	No	
row_124	RAPGEF6	NA	10889	0.04884646087884903	0.10932053	No	
row_125	CD2AP	NA	10974	0.04603901877999306	0.11029727	No	
row_126	RAB3GAP1	NA	10980	0.04573410376906395	0.11508142	No	
row_127	GSN	NA	10989	0.04560703784227371	0.11972099	No	
row_128	TIAM1	NA	11416	0.03556244447827339	0.104215	No	
row_129	TUBGCP6	NA	11487	0.03422008827328682	0.10586647	No	
row_130	KLC1	NA	11553	0.03253454715013504	0.10775892	No	
row_131	MARK4	NA	11712	0.029107358306646347	0.105169214	No	
row_132	SMC4	NA	11854	0.026602020487189293	0.10339884	No	
row_133	KATNA1	NA	12085	0.022121304646134377	0.097339086	No	
row_134	UXT	NA	12150	0.021208321675658226	0.099279724	No	
row_135	CEP131	NA	12285	0.01819460093975067	0.09784671	No	
row_136	KATNB1	NA	12299	0.018122229725122452	0.1022453	No	
row_137	MAPRE1	NA	12383	0.01626804657280445	0.10327023	No	
row_138	ABR	NA	12453	0.015266021713614464	0.1049699	No	
row_139	FGD6	NA	12743	0.008942387998104095	0.09606664	No	
row_140	TBCD	NA	12869	0.0062157632783055305	0.09506738	No	
row_141	SASS6	NA	12931	0.004320373293012381	0.097152606	No	
row_142	ATG4B	NA	13091	0.0014294650172814727	0.09451471	No	
row_143	TUBGCP3	NA	13442	-0.004549611359834671	0.08267155	No	
row_144	CDC42EP4	NA	13449	-0.004769285209476948	0.08740751	No	
row_145	BRCA2	NA	13516	-0.006455850321799517	0.08925176	No	
row_146	PXN	NA	13628	-0.009073066525161266	0.08892723	No	
row_147	YWHAE	NA	13712	-0.010940363630652428	0.08995216	No	
row_148	ARAP3	NA	13715	-0.010948840528726578	0.0948809	No	
row_149	EPB41	NA	13940	-0.015376913361251354	0.08911032	No	
row_150	HOOK3	NA	14714	-0.03169793263077736	0.05688064	No	
row_151	DOCK2	NA	14720	-0.031831979751586914	0.061664794	No	
row_152	HDAC6	NA	14774	-0.03331594541668892	0.06413558	No	
row_153	LATS1	NA	14879	-0.03673875331878662	0.06414841	No	
row_154	RASA2	NA	15170	-0.04645783081650734	0.055196963	No	
row_155	KIFAP3	NA	15628	-0.06472615152597427	0.038196933	No	
row_156	MYH10	NA	15641	-0.0650213360786438	0.042643715	No	
row_157	ARFGEF1	NA	15833	-0.07345709204673767	0.038463578	No	
row_158	MID1IP1	NA	16134	-0.08726152032613754	0.029030178	No	
row_159	LLGL1	NA	16215	-0.09078972041606903	0.030199695	No	
row_160	ARL8A	NA	16271	-0.09417445957660675	0.03257409	No	
row_161	MYO9B	NA	16317	-0.09580767899751663	0.03543044	No	
row_162	PALLD	NA	16410	-0.09957724064588547	0.036021616	No	
row_163	CKAP5	NA	16428	-0.10044650733470917	0.040227424	No	
row_164	TAOK2	NA	16618	-0.110243059694767	0.036143675	No	
row_165	KNTC1	NA	16848	-0.12212240695953369	0.030132126	No	
row_166	DYNLL2	NA	16926	-0.12699918448925018	0.03144623	No	
row_167	ARHGEF3	NA	16999	-0.13165463507175446	0.033001307	No	
row_168	RHOT2	NA	17193	-0.14600692689418793	0.028724782	No	
row_169	TUBGCP5	NA	17265	-0.15190137922763824	0.030328056	No	
row_170	LMNB1	NA	17317	-0.1561305969953537	0.03289523	No	
row_171	PREX1	NA	17688	-0.1844763457775116	0.020088173	No	
row_172	BIN1	NA	17795	-0.19507281482219696	0.020004619	No	
row_173	ARFIP2	NA	17848	-0.20168240368366241	0.0225236	No	
row_174	NOTCH2	NA	17854	-0.20221346616744995	0.02730775	No	
row_175	SHROOM2	NA	17956	-0.21035178005695343	0.02746517	No	
row_176	BCR	NA	18265	-0.24433861672878265	0.017646208	No	
row_177	CEP250	NA	18543	-0.27762264013290405	0.009321294	No	
row_178	CLIP2	NA	18565	-0.2818374037742615	0.013334322	No	
row_179	NIN	NA	18586	-0.2863503098487854	0.017395547	No	
row_180	STAU1	NA	18687	-0.3010529577732086	0.017601162	No	
row_181	ACTN4	NA	18703	-0.3039003014564514	0.021903362	No	
row_182	PKD2	NA	18742	-0.30928537249565125	0.025097074	No	
row_183	TSC1	NA	18780	-0.31489482522010803	0.02833898	No	
row_184	ARHGAP10	NA	18862	-0.3303118348121643	0.029460303	No	
row_185	MYO1E	NA	18913	-0.3388417959213257	0.032075673	No	
row_186	FLNB	NA	18942	-0.34402868151664734	0.03575134	No	
row_187	PAFAH1B1	NA	19037	-0.36415544152259827	0.036246125	No	
row_188	CSNK1D	NA	19380	-0.44247713685035706	0.024788529	No	
row_189	MYH9	NA	19925	-0.6231915950775146	0.0035955245	No	
row_190	ARHGAP4	NA	19945	-0.6299960017204285	0.0077049434	No	
row_191	WASF1	NA	20001	-0.6586926579475403	0.010079339	No	
row_192	RASA1	NA	20087	-0.7021129727363586	0.011007882	No	
row_193	ABL1	NA	20097	-0.7070586681365967	0.015599251	No	
row_194	ARHGDIA	NA	20311	-0.8633236289024353	0.0103588225	No	
row_195	MAP1S	NA	20340	-0.88763427734375	0.014034485	No	
row_196	GEMIN4	NA	20719	-1.3785645961761475	8.418661E-4	No	
