NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLK4	NA	216	1.3667426109313965	0.0069015035	No	
row_1	PLK1	NA	733	0.9070835709571838	-5.579313E-4	No	
row_2	TFB2M	NA	6982	0.1723024696111679	-0.28240702	No	
row_3	HSPD1	NA	8029	0.13375362753868103	-0.31523746	No	
row_4	CBX3	NA	8093	0.1313294917345047	-0.30101186	No	
row_5	WDR74	NA	8364	0.12092424929141998	-0.29669535	No	
row_6	RRP12	NA	8444	0.11816124618053436	-0.28323567	No	
row_7	SLC19A1	NA	9076	0.09938137233257294	-0.29620013	No	
row_8	SLC29A2	NA	10257	0.06571152806282043	-0.3354451	No	
row_9	RABEPK	NA	10522	0.058139197528362274	-0.33084136	No	
row_10	PES1	NA	11188	0.04156399518251419	-0.34543338	No	
row_11	MAP3K6	NA	11411	0.03574780374765396	-0.33881912	No	
row_12	NOP16	NA	14287	-0.022723188623785973	-0.4592034	No	
row_13	TBRG4	NA	14812	-0.034289322793483734	-0.46704578	No	
row_14	MCM4	NA	15076	-0.04342741146683693	-0.46239415	No	
row_15	RCL1	NA	15284	-0.051042068749666214	-0.45506182	No	
row_16	AIMP2	NA	15686	-0.06704208254814148	-0.45701623	No	
row_17	NIP7	NA	16712	-0.11521877348423004	-0.48884138	No	
row_18	DUSP2	NA	17976	-0.21152342855930328	-0.53205955	Yes	
row_19	DCTPP1	NA	18239	-0.24028994143009186	-0.5273601	Yes	
row_20	HSPE1	NA	18662	-0.296713262796402	-0.53031975	Yes	
row_21	CDK4	NA	18800	-0.3170710504055023	-0.5196365	Yes	
row_22	NDUFAF4	NA	19130	-0.3815803825855255	-0.5181443	Yes	
row_23	PA2G4	NA	19214	-0.402047723531723	-0.50487614	Yes	
row_24	NPM1	NA	19362	-0.437467098236084	-0.4946716	Yes	
row_25	SORD	NA	19418	-0.4501684308052063	-0.48006308	Yes	
row_26	TCOF1	NA	19673	-0.5295265913009644	-0.47498062	Yes	
row_27	PHB	NA	19868	-0.6009392142295837	-0.46702597	Yes	
row_28	NOC4L	NA	19888	-0.6110191941261292	-0.4506941	Yes	
row_29	NOP56	NA	20081	-0.6997365951538086	-0.44264376	Yes	
row_30	FARSA	NA	20198	-0.7769948840141296	-0.43095526	Yes	
row_31	TMEM97	NA	20207	-0.7838706374168396	-0.41409683	Yes	
row_32	SUPV3L1	NA	20215	-0.7888305187225342	-0.39719054	Yes	
row_33	GNL3	NA	20325	-0.8749677538871765	-0.38516697	Yes	
row_34	PRMT3	NA	20326	-0.875351071357727	-0.3679256	Yes	
row_35	MCM5	NA	20392	-0.941712498664856	-0.35379577	Yes	
row_36	MPHOSPH10	NA	20480	-1.023536205291748	-0.34071904	Yes	
row_37	NOLC1	NA	20526	-1.0689561367034912	-0.32563183	Yes	
row_38	LAS1L	NA	20617	-1.1907421350479126	-0.31269872	Yes	
row_39	UTP20	NA	20646	-1.2379765510559082	-0.2967977	Yes	
row_40	IMP4	NA	20673	-1.2892706394195557	-0.28080094	Yes	
row_41	UNG	NA	20683	-1.3076002597808838	-0.26399037	Yes	
row_42	WDR43	NA	20706	-1.3523261547088623	-0.24780214	Yes	
row_43	GRWD1	NA	20742	-1.428739309310913	-0.23223619	Yes	
row_44	NOP2	NA	20827	-1.701170563697815	-0.21901588	Yes	
row_45	MYBBP1A	NA	20831	-1.7242180109024048	-0.20191811	Yes	
row_46	RRP9	NA	20837	-1.7839003801345825	-0.18491608	Yes	
row_47	PUS1	NA	20841	-1.8036171197891235	-0.16781831	Yes	
row_48	EXOSC5	NA	20882	-2.0951080322265625	-0.15249172	Yes	
row_49	DDX18	NA	20886	-2.1144096851348877	-0.13539395	Yes	
row_50	HK2	NA	20887	-2.1167871952056885	-0.11815257	Yes	
row_51	MRTO4	NA	20889	-2.132084846496582	-0.10095906	Yes	
row_52	SRM	NA	20913	-2.3561441898345947	-0.08481869	Yes	
row_53	PPRC1	NA	20928	-2.735938549041748	-0.06824749	Yes	
row_54	BYSL	NA	20939	-3.190340042114258	-0.051484805	Yes	
row_55	PPAN	NA	20940	-3.2039597034454346	-0.034243427	Yes	
row_56	IPO4	NA	20941	-3.2254912853240967	-0.017002048	Yes	
row_57	MYC	NA	20944	-3.874791383743286	1.4359232E-4	Yes	
