NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.005	No	
row_1	TOB1	NA	5	2.799623727798462	0.00980721	No	
row_2	ZNF365	NA	19	2.3344147205352783	0.0141806435	No	
row_3	HBEGF	NA	146	1.5503487586975098	0.013107769	No	
row_4	CCNG1	NA	339	1.19875168800354	0.008853865	No	
row_5	BTG2	NA	593	0.9896204471588135	0.0016599183	No	
row_6	FAS	NA	821	0.8652697205543518	-0.0042808955	No	
row_7	ALOX15B	NA	889	0.8395817875862122	-0.0025101223	No	
row_8	IL1A	NA	1597	0.6331057548522949	-0.031585697	No	
row_9	CCP110	NA	1761	0.5964195132255554	-0.034441873	No	
row_10	GM2A	NA	1805	0.5873400568962097	-0.031514365	No	
row_11	BMP2	NA	1940	0.5665690898895264	-0.032972816	No	
row_12	MDM2	NA	1941	0.5665525794029236	-0.027972817	No	
row_13	TP63	NA	2002	0.5553122758865356	-0.025864663	No	
row_14	ST14	NA	2024	0.5525858998298645	-0.021876808	No	
row_15	ANKRA2	NA	2244	0.5262787938117981	-0.027432043	No	
row_16	GLS2	NA	2355	0.5104405879974365	-0.02773376	No	
row_17	TXNIP	NA	2364	0.5093569755554199	-0.02311934	No	
row_18	RGS16	NA	2439	0.5003218054771423	-0.021685949	No	
row_19	PRMT2	NA	2441	0.5001383423805237	-0.016734146	No	
row_20	VWA5A	NA	2790	0.45561978220939636	-0.028506847	No	
row_21	GPX2	NA	2835	0.4512132406234741	-0.025627533	No	
row_22	PERP	NA	2896	0.4447658956050873	-0.023519378	No	
row_23	TGFA	NA	2920	0.4431653916835785	-0.01962792	No	
row_24	RPS27L	NA	3095	0.4260081648826599	-0.02301427	No	
row_25	KLF4	NA	3106	0.42453503608703613	-0.018496243	No	
row_26	RAP2B	NA	3140	0.4217015504837036	-0.015086758	No	
row_27	H1-2	NA	3271	0.4079889953136444	-0.016352423	No	
row_28	POLH	NA	3583	0.37581661343574524	-0.02634182	No	
row_29	TCHH	NA	3585	0.3757088780403137	-0.021390017	No	
row_30	S100A4	NA	3798	0.36199551820755005	-0.02660787	No	
row_31	PPM1D	NA	3819	0.3605501055717468	-0.022571817	No	
row_32	FOS	NA	3969	0.34463420510292053	-0.024753233	No	
row_33	TSC22D1	NA	4191	0.3283015489578247	-0.030404862	No	
row_34	CYFIP2	NA	4269	0.32103532552719116	-0.029116062	No	
row_35	IER3	NA	4474	0.3069759011268616	-0.033948336	No	
row_36	VAMP8	NA	4497	0.3040902316570282	-0.03000868	No	
row_37	TM4SF1	NA	4504	0.3039156496524811	-0.025297863	No	
row_38	SOCS1	NA	4738	0.28830185532569885	-0.031527862	No	
row_39	APP	NA	4751	0.28778401017189026	-0.027106231	No	
row_40	KLK8	NA	4873	0.27881699800491333	-0.027938118	No	
row_41	CDKN2AIP	NA	5014	0.27028289437294006	-0.029685758	No	
row_42	CCND3	NA	5066	0.2661720812320709	-0.027143827	No	
row_43	IER5	NA	5168	0.2606245279312134	-0.027011765	No	
row_44	HEXIM1	NA	5213	0.2575317323207855	-0.024132451	No	
row_45	SERPINB5	NA	5247	0.2556014358997345	-0.020722967	No	
row_46	CLCA2	NA	5332	0.25174975395202637	-0.01977155	No	
row_47	RRAD	NA	5370	0.24990500509738922	-0.016554855	No	
row_48	ABCC5	NA	5604	0.23750998079776764	-0.022784851	No	
row_49	CGRRF1	NA	5615	0.23675328493118286	-0.018266827	No	
row_50	ZBTB16	NA	5629	0.2359805405139923	-0.013893393	No	
row_51	VDR	NA	5806	0.226005420088768	-0.017376138	No	
row_52	RPL36	NA	6209	0.20609162747859955	-0.0317515	No	
row_53	MXD4	NA	6371	0.19824954867362976	-0.034511283	No	
row_54	TAP1	NA	6390	0.19742383062839508	-0.030378837	No	
row_55	H2AJ	NA	6519	0.1909918189048767	-0.03154811	No	
row_56	TAX1BP3	NA	6539	0.19016018509864807	-0.027463859	No	
row_57	KRT17	NA	6599	0.1877526044845581	-0.025307506	No	
row_58	EPS8L2	NA	6602	0.1876145303249359	-0.020403901	No	
row_59	ITGB4	NA	6693	0.18392761051654816	-0.01974167	No	
row_60	PCNA	NA	6737	0.18284296989440918	-0.016814157	No	
row_61	RAD51C	NA	7181	0.16553814709186554	-0.033165615	No	
row_62	NHLH2	NA	7203	0.16418561339378357	-0.029177759	No	
row_63	IP6K2	NA	7241	0.16265077888965607	-0.025961064	No	
row_64	CCND2	NA	7298	0.16048257052898407	-0.02366012	No	
row_65	ABHD4	NA	7338	0.159345805644989	-0.020539818	No	
row_66	CTSF	NA	7365	0.15776632726192474	-0.016792951	No	
row_67	MXD1	NA	7368	0.1575905680656433	-0.011889346	No	
row_68	SDC1	NA	7376	0.15730403363704681	-0.0072267284	No	
row_69	PTPN14	NA	7384	0.15708614885807037	-0.0025641103	No	
row_70	TPD52L1	NA	7486	0.15342944860458374	-0.0024320495	No	
row_71	F2R	NA	7529	0.15202100574970245	5.436588E-4	No	
row_72	PLXNB2	NA	7577	0.15018539130687714	0.00327838	No	
row_73	ISCU	NA	7652	0.14772659540176392	0.0047117714	No	
row_74	ATF3	NA	7833	0.1407148838043213	0.0010362361	No	
row_75	DCXR	NA	7871	0.1392497569322586	0.0042529316	No	
row_76	PLK2	NA	7905	0.13792011141777039	0.007662417	No	
row_77	H2AW	NA	8020	0.1340295672416687	0.007167911	No	
row_78	PVT1	NA	8055	0.13236862421035767	0.010529199	No	
row_79	OSGIN1	NA	8601	0.11405734717845917	-0.010738393	No	
row_80	SERTAD3	NA	8681	0.11175698786973953	-0.009545989	No	
row_81	RAB40C	NA	8912	0.10426681488752365	-0.015631394	No	
row_82	IRAG2	NA	8976	0.10214041918516159	-0.013667833	No	
row_83	HINT1	NA	9079	0.09933219105005264	-0.013583969	No	
row_84	BLCAP	NA	9303	0.09339606761932373	-0.019331994	No	
row_85	TRIB3	NA	9326	0.09271319210529327	-0.015392337	No	
row_86	FOXO3	NA	9405	0.09042202681303024	-0.014151735	No	
row_87	BTG1	NA	9532	0.08658622950315475	-0.0152246095	No	
row_88	WRAP73	NA	9905	0.0755544900894165	-0.02815405	No	
row_89	TM7SF3	NA	10064	0.07111538201570511	-0.03076924	No	
row_90	FBXW7	NA	10119	0.06942388415336609	-0.028371902	No	
row_91	TPRKB	NA	10148	0.06884472072124481	-0.024721429	No	
row_92	CDH13	NA	10624	0.05582275241613388	-0.0426152	No	
row_93	PRKAB1	NA	10936	0.04731108248233795	-0.052604597	No	
row_94	NINJ1	NA	11098	0.04323418065905571	-0.05536438	No	
row_95	BAIAP2	NA	11205	0.04112320393323898	-0.05547331	No	
row_96	PTPRE	NA	11297	0.03890373557806015	-0.054859273	No	
row_97	HMOX1	NA	11426	0.03534865751862526	-0.056028545	No	
row_98	RPL18	NA	11592	0.031782541424036026	-0.058981117	No	
row_99	TRAFD1	NA	11628	0.030785484239459038	-0.055668026	No	
row_100	ZMAT3	NA	11669	0.02999371662735939	-0.052595925	No	
row_101	RRP8	NA	11775	0.027991555631160736	-0.052656654	No	
row_102	CCNK	NA	11779	0.027928592637181282	-0.047801245	No	
row_103	CDKN2A	NA	11852	0.026603136211633682	-0.04627146	No	
row_104	RPS12	NA	12022	0.023242589086294174	-0.04941682	No	
row_105	TNFSF9	NA	12029	0.022960657253861427	-0.04470601	No	
row_106	JAG2	NA	12092	0.02206253632903099	-0.04269425	No	
row_107	RNF19B	NA	12420	0.015737764537334442	-0.0534548	No	
row_108	ADA	NA	12633	0.011193646118044853	-0.058672655	No	
row_109	CEBPA	NA	12690	0.010112044401466846	-0.05637171	No	
row_110	TRAF4	NA	12705	0.009959152899682522	-0.052046474	No	
row_111	NUPR1	NA	12738	0.009203130379319191	-0.048588794	No	
row_112	FUCA1	NA	12922	0.004517224617302418	-0.05240892	No	
row_113	CDKN2B	NA	12924	0.004514191299676895	-0.047457118	No	
row_114	PROCR	NA	12938	0.0041297185234725475	-0.043083683	No	
row_115	PHLDA3	NA	12963	0.003875960363075137	-0.03924042	No	
row_116	BAX	NA	13281	-0.001640652189962566	-0.049519002	No	
row_117	SPHK1	NA	13297	-0.0018908552592620254	-0.045241963	No	
row_118	STOM	NA	13529	-0.006822237279266119	-0.051375568	No	
row_119	RCHY1	NA	13539	-0.00713386619463563	-0.046809345	No	
row_120	STEAP3	NA	13659	-0.009644734673202038	-0.047544837	No	
row_121	SLC35D1	NA	13907	-0.014907173812389374	-0.0544496	No	
row_122	APAF1	NA	13937	-0.015366715379059315	-0.050847325	No	
row_123	FAM162A	NA	13975	-0.016206955537199974	-0.04763063	No	
row_124	POM121	NA	14243	-0.021945400163531303	-0.055499338	No	
row_125	ZFP36L1	NA	14347	-0.023703215643763542	-0.05546367	No	
row_126	SFN	NA	14406	-0.024918120354413986	-0.053259123	No	
