NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAFB	NA	1496	0.6538441777229309	-0.04655156	Yes	
row_1	PAX6	NA	1668	0.617353618144989	-0.02973025	Yes	
row_2	PAK3	NA	1919	0.5703056454658508	-0.016687393	Yes	
row_3	SEC11A	NA	2271	0.5227254629135132	-0.008475226	Yes	
row_4	GCK	NA	2379	0.5073057413101196	0.0114071155	Yes	
row_5	AKT3	NA	4263	0.3212184011936188	-0.05365411	Yes	
row_6	NEUROD1	NA	4435	0.3093969523906708	-0.036832795	Yes	
row_7	LMO2	NA	5381	0.24960610270500183	-0.057030804	Yes	
row_8	VDR	NA	5806	0.226005420088768	-0.052310124	Yes	
row_9	ISL1	NA	6442	0.19507193565368652	-0.057681277	Yes	
row_10	FOXA2	NA	6620	0.18709658086299896	-0.041146934	Yes	
row_11	PCSK1	NA	7937	0.1364659070968628	-0.07908935	Yes	
row_12	SCGN	NA	8023	0.13390637934207916	-0.05815478	Yes	
row_13	FOXO1	NA	8500	0.116332046687603	-0.055921186	Yes	
row_14	PAX4	NA	8739	0.10971799492835999	-0.04230439	Yes	
row_15	G6PC2	NA	8957	0.10254368931055069	-0.027683191	Yes	
row_16	DCX	NA	8959	0.10251212120056152	-0.0027310185	Yes	
row_17	PDX1	NA	9629	0.08338158577680588	-0.00972834	Yes	
row_18	HNF1A	NA	9737	0.08044779300689697	0.010154001	Yes	
row_19	NEUROG3	NA	9949	0.07446154206991196	0.02506217	Yes	
row_20	PKLR	NA	10334	0.06357724964618683	0.031695995	Yes	
row_21	SYT13	NA	10375	0.06213943287730217	0.054782853	Yes	
row_22	SRP14	NA	11284	0.039186760783195496	0.036354497	Yes	
row_23	PCSK2	NA	11548	0.032601408660411835	0.04877558	Yes	
row_24	SRP9	NA	11905	0.025499379262328148	0.056748606	Yes	
row_25	CHGA	NA	12190	0.020112184807658195	0.06816529	Yes	
row_26	INSM1	NA	12234	0.019188513979315758	0.09110866	Yes	
row_27	NKX6-1	NA	12353	0.01692502386868	0.110464886	Yes	
row_28	IAPP	NA	12378	0.01650714874267578	0.134317	Yes	
row_29	NKX2-2	NA	13053	0.00218281801789999	0.12708053	No	
row_30	ABCC8	NA	13636	-0.009275455959141254	0.1242443	No	
row_31	SST	NA	14715	-0.031782541424036026	0.09768509	No	
row_32	STXBP1	NA	14762	-0.03284968435764313	0.12048497	No	
row_33	ELP4	NA	16595	-0.10925707966089249	0.05786301	No	
row_34	GCG	NA	16844	-0.12196415662765503	0.07100152	No	
row_35	SPCS1	NA	17642	-0.18073703348636627	0.057882138	No	
row_36	SLC2A2	NA	18344	-0.25317761301994324	0.049354304	No	
row_37	DPP4	NA	19647	-0.5191248059272766	0.012081486	No	
row_38	INS	NA	19935	-0.627120852470398	0.023354683	No	
row_39	SRPRB	NA	20754	-1.4501065015792847	0.009230902	No	
