NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDI1	NA	175	1.460959553718567	0.0012196833	No	
row_1	CADM1	NA	187	1.4315149784088135	0.010307338	No	
row_2	ELOVL5	NA	374	1.1681174039840698	0.010999292	No	
row_3	TOP2A	NA	484	1.0583651065826416	0.015385354	No	
row_4	ACOT8	NA	587	0.9917933344841003	0.020107245	No	
row_5	BCL10	NA	1309	0.7021129727363586	-0.0048676613	No	
row_6	CLN8	NA	1518	0.6485226154327393	-0.0052311677	No	
row_7	ATXN1	NA	2159	0.5350512862205505	-0.026320063	No	
row_8	PEX13	NA	2861	0.4481392204761505	-0.05033546	No	
row_9	ESR2	NA	2899	0.44463610649108887	-0.042495165	No	
row_10	ABCB1	NA	3343	0.40081360936164856	-0.0541329	No	
row_11	HSD17B11	NA	3703	0.36815640330314636	-0.061740696	No	
row_12	FDPS	NA	3806	0.3614130914211273	-0.05701881	No	
row_13	SIAH1	NA	4142	0.3314017355442047	-0.06347519	No	
row_14	FABP6	NA	4196	0.3277131915092468	-0.05640251	No	
row_15	YWHAH	NA	4657	0.2933087944984436	-0.06885582	No	
row_16	EHHADH	NA	4819	0.2829650640487671	-0.066964485	No	
row_17	CTBP1	NA	5119	0.26377102732658386	-0.071693756	No	
row_18	RDH11	NA	5517	0.2420503795146942	-0.08112462	No	
row_19	ABCC5	NA	5604	0.23750998079776764	-0.07563512	No	
row_20	ABCB9	NA	5903	0.22106695175170898	-0.08031642	No	
row_21	CACNA1B	NA	5960	0.21880359947681427	-0.07338766	No	
row_22	DIO1	NA	6178	0.20786942541599274	-0.07418294	No	
row_23	MLYCD	NA	6579	0.18814410269260406	-0.083757736	No	
row_24	ABCD2	NA	6609	0.18731750547885895	-0.075533636	No	
row_25	PEX14	NA	6639	0.18638552725315094	-0.067309536	No	
row_26	SLC27A2	NA	6676	0.1843559741973877	-0.059421267	No	
row_27	HAO2	NA	7125	0.1674308329820633	-0.07129888	No	
row_28	SLC25A17	NA	7430	0.1553810089826584	-0.076268025	No	
row_29	UGT2B17	NA	7512	0.15244148671627045	-0.070538655	No	
row_30	HSD17B4	NA	7704	0.14553508162498474	-0.070086576	No	
row_31	SCP2	NA	7763	0.142911896109581	-0.06325377	No	
row_32	SEMA3C	NA	7920	0.13697776198387146	-0.06112255	No	
row_33	ALB	NA	8133	0.12962546944618225	-0.06167796	No	
row_34	ACOX1	NA	8190	0.1273212879896164	-0.0547492	No	
row_35	CDK7	NA	8389	0.11994051933288574	-0.05463295	No	
row_36	PEX2	NA	8479	0.1170416921377182	-0.04928738	No	
row_37	SULT2B1	NA	8762	0.10925707966089249	-0.05320107	No	
row_38	CRABP1	NA	8826	0.10675279796123505	-0.046608135	No	
row_39	PABPC1	NA	9033	0.10040532052516937	-0.04687569	No	
row_40	NR1I2	NA	9105	0.09894009679555893	-0.04066656	No	
row_41	PEX11B	NA	9609	0.08406119048595428	-0.055182822	No	
row_42	ABCB4	NA	10089	0.0700293779373169	-0.06854767	No	
row_43	CRAT	NA	10343	0.06337644159793854	-0.071070075	No	
row_44	SLC23A2	NA	10546	0.057796891778707504	-0.07114573	No	
row_45	DLG4	NA	10641	0.055284831672906876	-0.06604003	No	
row_46	TSPO	NA	11033	0.04493577033281326	-0.07518304	No	
