NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRDX2	NA	12	2.495328187942505	0.019833973	No	
row_1	CDKN2D	NA	246	1.322637915611267	0.029093277	No	
row_2	MBP	NA	429	1.1164237260818481	0.04079289	No	
row_3	SCAF4	NA	2740	0.4619157314300537	-0.04933055	No	
row_4	GLRX	NA	3243	0.4109031856060028	-0.052942675	No	
row_5	MGST1	NA	3829	0.36039045453071594	-0.06052628	No	
row_6	SELENOS	NA	3881	0.3548276722431183	-0.042558428	No	
row_7	HHEX	NA	4413	0.3105085492134094	-0.047558177	No	
row_8	NDUFA6	NA	5878	0.22279928624629974	-0.09720121	No	
row_9	MPO	NA	7506	0.1526169627904892	-0.15464365	No	
row_10	NDUFB4	NA	7791	0.14205403625965118	-0.14782466	No	
row_11	GCLC	NA	8207	0.12689782679080963	-0.14727391	No	
row_12	NDUFS2	NA	8286	0.1239665076136589	-0.13059798	No	
row_13	LAMTOR5	NA	8632	0.11328940838575363	-0.1266978	No	
row_14	ERCC2	NA	9181	0.09684737026691437	-0.13251098	No	
row_15	MSRA	NA	9482	0.0881301537156105	-0.12645757	No	
row_16	EGLN2	NA	10061	0.07114716619253159	-0.13370623	No	
row_17	STK25	NA	10156	0.0685577467083931	-0.117795885	No	
row_18	TXN	NA	10584	0.056952495127916336	-0.117819324	No	
row_19	SOD2	NA	12187	0.02018073946237564	-0.17406555	No	
row_20	CAT	NA	12429	0.015416520647704601	-0.16518903	No	
row_21	TXNRD1	NA	13482	-0.005576588213443756	-0.1951182	No	
row_22	GPX3	NA	13495	-0.006018377374857664	-0.17528424	No	
row_23	GPX4	NA	13624	-0.008901736699044704	-0.16100077	No	
row_24	SRXN1	NA	14670	-0.030785484239459038	-0.190595	No	
row_25	PTPA	NA	15918	-0.07834147661924362	-0.22985476	Yes	
row_26	ABCC1	NA	16004	-0.08165917545557022	-0.21351378	Yes	
row_27	TXNRD2	NA	16300	-0.09510105103254318	-0.20722112	Yes	
row_28	SOD1	NA	16377	-0.09844214469194412	-0.19044949	Yes	
row_29	PDLIM1	NA	17103	-0.13905549049377441	-0.20473199	Yes	
row_30	NQO1	NA	17203	-0.14729976654052734	-0.1890609	Yes	
row_31	FES	NA	17260	-0.15136030316352844	-0.17133228	Yes	
row_32	IPCEF1	NA	17270	-0.15272702276706696	-0.15135476	Yes	
row_33	PRDX4	NA	18251	-0.24163323640823364	-0.17783879	Yes	
row_34	PRDX6	NA	18325	-0.250868558883667	-0.16092362	Yes	
row_35	ATOX1	NA	18415	-0.2616647481918335	-0.14477403	Yes	
row_36	GSR	NA	18672	-0.2989841103553772	-0.13661526	Yes	
row_37	SBNO2	NA	18757	-0.31077301502227783	-0.12022643	Yes	
row_38	GCLM	NA	18851	-0.32948294281959534	-0.104268245	Yes	
row_39	GLRX2	NA	19257	-0.4098879098892212	-0.10323899	Yes	
row_40	PRDX1	NA	19565	-0.49328020215034485	-0.09752053	Yes	
row_41	JUNB	NA	19751	-0.5545661449432373	-0.08596446	Yes	
row_42	FTL	NA	19795	-0.5760387182235718	-0.06761382	Yes	
row_43	PRNP	NA	19965	-0.6400088667869568	-0.055292167	Yes	
row_44	LSP1	NA	20274	-0.8350272178649902	-0.04962155	Yes	
row_45	HMOX2	NA	20374	-0.9172868132591248	-0.033950455	Yes	
row_46	OXSR1	NA	20679	-1.3052178621292114	-0.028088443	Yes	
row_47	G6PD	NA	20705	-1.3479799032211304	-0.00887651	Yes	
row_48	PFKP	NA	20916	-2.409522533416748	0.0014833253	Yes	
