NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMURF1	NA	136	1.5799330472946167	0.012009473	Yes	
row_1	APC	NA	249	1.3212144374847412	0.025167601	Yes	
row_2	HIPK2	NA	442	1.1058413982391357	0.034496877	Yes	
row_3	TRIM33	NA	1357	0.6898148059844971	0.009270781	Yes	
row_4	SKIL	NA	1706	0.6093697547912598	0.011133799	Yes	
row_5	BMP2	NA	1940	0.5665690898895264	0.018500792	Yes	
row_6	CTNNB1	NA	2237	0.5270353555679321	0.022852564	Yes	
row_7	BCAR3	NA	2249	0.5253043174743652	0.040844616	Yes	
row_8	PPM1A	NA	2459	0.49617287516593933	0.04936026	Yes	
row_9	SKI	NA	2498	0.4918636381626129	0.06606007	Yes	
row_10	ID2	NA	2668	0.46933671832084656	0.07649015	Yes	
row_11	THBS1	NA	2697	0.46625465154647827	0.09366857	Yes	
row_12	FNTA	NA	3293	0.4063178598880768	0.083710015	Yes	
row_13	RAB31	NA	3540	0.37964433431625366	0.09045482	Yes	
row_14	SERPINE1	NA	3894	0.35342898964881897	0.09207853	Yes	
row_15	ARID4B	NA	4300	0.3187958896160126	0.091213495	Yes	
row_16	SPTBN1	NA	5084	0.26549476385116577	0.07225714	Yes	
row_17	SMAD3	NA	5252	0.25535717606544495	0.08278293	Yes	
row_18	NOG	NA	5726	0.2308165431022644	0.07866337	Yes	
row_19	CDKN1C	NA	5759	0.22951705753803253	0.09565035	Yes	
row_20	SMAD7	NA	6170	0.20802664756774902	0.09454601	Yes	
row_21	TJP1	NA	6225	0.20542901754379272	0.110480055	Yes	
row_22	WWTR1	NA	6226	0.20535479485988617	0.12899858	Yes	
row_23	NCOR2	NA	6342	0.19949322938919067	0.14201312	Yes	
row_24	CDK9	NA	6840	0.17808982729911804	0.1367449	No	
row_25	SMAD6	NA	7335	0.15944215655326843	0.13162027	No	
row_26	ENG	NA	7654	0.14760500192642212	0.1349191	No	
row_27	SLC20A1	NA	8283	0.1239665076136589	0.12338115	No	
row_28	BMPR2	NA	9373	0.0912940502166748	0.089779444	No	
row_29	TGIF1	NA	10341	0.06344332545995712	0.062016737	No	
row_30	CDH1	NA	11369	0.036982547491788864	0.031382386	No	
row_31	XIAP	NA	11621	0.031055588275194168	0.037887886	No	
row_32	TGFBR1	NA	11835	0.02720893919467926	0.046212092	No	
row_33	BMPR1A	NA	11915	0.025330310687422752	0.06094962	No	
row_34	LEFTY2	NA	12259	0.018636837601661682	0.06305194	No	
row_35	UBE2D3	NA	12290	0.018122229725122452	0.080134645	No	
row_36	LTBP2	NA	12984	0.0034695665817707777	0.065485746	No	
row_37	RHOA	NA	13046	0.002387342508882284	0.081084765	No	
row_38	MAP3K7	NA	14102	-0.018749216571450233	0.049110316	No	
row_39	SMAD1	NA	14118	-0.0192527174949646	0.06691092	No	
row_40	PMEPA1	NA	14407	-0.024918120354413986	0.07164558	No	
row_41	IFNGR2	NA	15011	-0.04146327078342438	0.06130414	No	
row_42	PPP1R15A	NA	15586	-0.06284411251544952	0.05235066	No	
row_43	SMURF2	NA	15966	-0.08071571588516235	0.052729998	No	
row_44	ACVR1	NA	18026	-0.21873068809509277	-0.027296523	No	
row_45	TGFB1	NA	18394	-0.2580091953277588	-0.026342856	No	
row_46	FURIN	NA	18524	-0.27499711513519287	-0.013998358	No	
row_47	FKBP1A	NA	18785	-0.3152303993701935	-0.007923603	No	
row_48	HDAC1	NA	19140	-0.3848961591720581	-0.0063477475	No	
row_49	JUNB	NA	19751	-0.5545661449432373	-0.017024213	No	
row_50	PPP1CA	NA	20086	-0.7021129727363586	-0.0144911455	No	
row_51	ID3	NA	20159	-0.7468605041503906	5.8140745E-4	No	
row_52	KLF10	NA	20613	-1.185991883277893	-0.0025809396	No	
row_53	ID1	NA	20917	-2.4222872257232666	0.0014358079	No	
