NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AX	NA	241	1.3307684659957886	-0.002717517	No	
row_1	NFYB	NA	344	1.192467212677002	0.0012364321	No	
row_2	CKS1B	NA	380	1.1592609882354736	0.008406124	No	
row_3	TARS1	NA	473	1.0738822221755981	0.012840034	No	
row_4	CNOT4	NA	1860	0.5776315927505493	-0.044833086	No	
row_5	SPCS3	NA	1881	0.5742480754852295	-0.03694345	No	
row_6	SEC11A	NA	2271	0.5227254629135132	-0.0467644	No	
row_7	SERP1	NA	3087	0.4271154999732971	-0.07703171	No	
row_8	KDELR3	NA	3437	0.3903059959411621	-0.08493281	No	
row_9	EXOSC1	NA	3476	0.38658687472343445	-0.077907115	No	
row_10	NFYA	NA	3913	0.35071390867233276	-0.08998388	No	
row_11	SHC1	NA	4538	0.30231454968452454	-0.111083925	No	
row_12	ZBTB17	NA	4655	0.2933502197265625	-0.10780192	No	
row_13	EIF4E	NA	4735	0.28874513506889343	-0.102744065	No	
row_14	CNOT2	NA	5032	0.26890885829925537	-0.10810137	No	
row_15	EIF4A2	NA	5251	0.255364328622818	-0.10971498	No	
row_16	DCP2	NA	5458	0.24619950354099274	-0.11075263	No	
row_17	IFIT1	NA	5536	0.24097219109535217	-0.10559877	No	
row_18	EXOSC2	NA	5856	0.2237396240234375	-0.11205999	No	
row_19	FKBP14	NA	5956	0.2189139723777771	-0.10796205	No	
row_20	NHP2	NA	6363	0.19874604046344757	-0.11859894	No	
row_21	HSP90B1	NA	6385	0.19755996763706207	-0.1107573	No	
row_22	GOSR2	NA	6865	0.17711640894412994	-0.1248979	No	
row_23	STC2	NA	7065	0.16979117691516876	-0.12559958	No	
row_24	EIF2AK3	NA	7090	0.16896075010299683	-0.11790193	No	
row_25	ATF3	NA	7833	0.1407148838043213	-0.14466552	No	
row_26	XBP1	NA	8189	0.12735772132873535	-0.1528546	No	
row_27	KIF5B	NA	8238	0.12557139992713928	-0.14630885	No	
row_28	LSM1	NA	9020	0.10077795386314392	-0.1749443	No	
row_29	CCL2	NA	9656	0.08274253457784653	-0.1965723	No	
row_30	DDX10	NA	9706	0.08114927262067795	-0.19007456	No	
row_31	POP4	NA	9813	0.07834147661924362	-0.1863126	No	
row_32	EDEM1	NA	10096	0.06976832449436188	-0.19099796	No	
row_33	YWHAZ	NA	10329	0.06364273279905319	-0.19328351	No	
row_34	FUS	NA	10441	0.060151223093271255	-0.18976152	No	
row_35	DNAJB9	NA	10487	0.05914514884352684	-0.18307179	No	
row_36	MTREX	NA	10507	0.05847116932272911	-0.17513417	No	
row_37	ATF6	NA	10547	0.057796891778707504	-0.16815646	No	
row_38	SLC30A5	NA	10812	0.051042068749666214	-0.17197789	No	
row_39	RPS14	NA	10847	0.05025332048535347	-0.1647602	No	
row_40	BANF1	NA	11071	0.04389307647943497	-0.16661379	No	
row_41	CALR	NA	11529	0.03300049155950546	-0.17969847	No	
row_42	DNAJA4	NA	11703	0.02920803241431713	-0.17915225	No	
row_43	PREB	NA	11928	0.02493467554450035	-0.18105383	No	
row_44	DCTN1	NA	11975	0.023763030767440796	-0.1744121	No	
row_45	PAIP1	NA	12010	0.023397373035550117	-0.16719441	No	
row_46	CXXC1	NA	12665	0.010514341294765472	-0.18973434	No	
row_47	EXOSC10	NA	12866	0.006296908482909203	-0.19048402	No	
row_48	DNAJC3	NA	13018	0.002906573237851262	-0.18888187	No	
row_49	ATP6V0D1	NA	13398	-0.003875960363075137	-0.19822286	No	
row_50	TTC37	NA	13570	-0.007940824143588543	-0.19758065	No	
row_51	SRPRA	NA	13690	-0.010482443496584892	-0.19444263	No	
row_52	WFS1	NA	14186	-0.0209147147834301	-0.20935118	No	
row_53	CNOT6	NA	14305	-0.023242589086294174	-0.20616516	No	
row_54	HERPUD1	NA	14733	-0.032297469675540924	-0.21780998	Yes	
row_55	ASNS	NA	14787	-0.03348807245492935	-0.2115042	Yes	
row_56	SSR1	NA	14821	-0.034555885940790176	-0.20423852	Yes	
row_57	ERN1	NA	15000	-0.04100076109170914	-0.20393229	Yes	
row_58	LSM4	NA	15065	-0.043065764009952545	-0.19815448	Yes	
row_59	SDAD1	NA	15582	-0.06242460012435913	-0.21407095	Yes	
row_60	EIF4A3	NA	15845	-0.07426466047763824	-0.21779639	Yes	
row_61	SLC1A4	NA	15931	-0.07904703915119171	-0.2130265	Yes	
row_62	IGFBP1	NA	15954	-0.0803883820772171	-0.20523286	Yes	
row_63	HSPA9	NA	16137	-0.08744266629219055	-0.2051186	Yes	
row_64	TUBB2A	NA	16179	-0.08919426798820496	-0.19823688	Yes	
row_65	MTHFD2	NA	16253	-0.0932425856590271	-0.19289105	Yes	
row_66	ATF4	NA	16446	-0.10112104564905167	-0.19325675	Yes	
row_67	KHSRP	NA	16579	-0.10823134332895279	-0.19074269	Yes	
row_68	CEBPG	NA	16964	-0.12945879995822906	-0.20032366	Yes	
row_69	BAG3	NA	17035	-0.13425275683403015	-0.19483383	Yes	
row_70	ARFGAP1	NA	17048	-0.13550050556659698	-0.18656023	Yes	
row_71	HSPA5	NA	17280	-0.1534302681684494	-0.18879777	Yes	
row_72	SPCS1	NA	17642	-0.18073703348636627	-0.19727483	Yes	
row_73	EIF4G1	NA	17742	-0.19016018509864807	-0.1931769	Yes	
row_74	DCP1A	NA	17801	-0.1965450942516327	-0.18711111	Yes	
row_75	CHAC1	NA	17982	-0.21228909492492676	-0.18690087	Yes	
row_76	EIF2S1	NA	18007	-0.21612700819969177	-0.17920321	Yes	
row_77	NABP1	NA	18098	-0.22527772188186646	-0.17467332	Yes	
row_78	EXOSC9	NA	18162	-0.23244968056678772	-0.16884752	Yes	
row_79	IMP3	NA	18171	-0.2329087108373642	-0.16038193	Yes	
row_80	PSAT1	NA	18318	-0.24968378245830536	-0.15853982	Yes	
row_81	HYOU1	NA	18330	-0.2513047456741333	-0.1502182	Yes	
row_82	TATDN2	NA	18512	-0.27424708008766174	-0.15005596	Yes	
row_83	CEBPB	NA	18839	-0.3271031975746155	-0.15685315	Yes	
row_84	YIF1A	NA	18966	-0.34947219491004944	-0.15405111	Yes	
row_85	PDIA6	NA	19160	-0.38912859559059143	-0.15446481	Yes	
row_86	EEF2	NA	19254	-0.40938636660575867	-0.1500789	Yes	
row_87	NPM1	NA	19362	-0.437467098236084	-0.14636493	Yes	
