NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK13	NA	49	2.0167765617370605	0.0045891283	Yes	
row_1	SYNE1	NA	411	1.1317365169525146	-0.005818859	Yes	
row_2	CACNA1A	NA	655	0.9420931339263916	-0.010554861	Yes	
row_3	INSIG1	NA	678	0.9304239749908447	-0.004667905	Yes	
row_4	PTEN	NA	734	0.9070835709571838	-3.671832E-4	Yes	
row_5	DAB2	NA	787	0.8815171122550964	0.004077742	Yes	
row_6	CELF2	NA	870	0.846261203289032	0.007080637	Yes	
row_7	DDAH1	NA	1123	0.7596169710159302	0.0019120262	Yes	
row_8	DMAC2L	NA	1351	0.6913924813270569	-0.0020548925	Yes	
row_9	APBB2	NA	1425	0.6669648289680481	0.0013806114	Yes	
row_10	KCNMA1	NA	1546	0.6446636319160461	0.0025569345	Yes	
row_11	IRS1	NA	1679	0.615792453289032	0.0031564455	Yes	
row_12	NRP1	NA	1707	0.6092678904533386	0.008803062	Yes	
row_13	NEK7	NA	1841	0.5815416574478149	0.009354506	Yes	
row_14	RBPMS	NA	1911	0.5706302523612976	0.01298228	Yes	
row_15	ATXN1	NA	2159	0.5350512862205505	0.008054008	Yes	
row_16	ACVR2A	NA	2444	0.49947255849838257	0.0013472318	Yes	
row_17	MAP1B	NA	2699	0.46568557620048523	-0.0039175143	Yes	
row_18	BDNF	NA	2714	0.46461188793182373	0.0023539828	Yes	
row_19	CAP2	NA	2720	0.46416378021240234	0.009058089	Yes	
row_20	LTBP1	NA	2814	0.4532955586910248	0.01153224	Yes	
row_21	ATRN	NA	2882	0.4462747275829315	0.01525615	Yes	
row_22	CDKN1B	NA	2933	0.4424821734428406	0.01979721	Yes	
row_23	MMP16	NA	3014	0.43711352348327637	0.02289624	Yes	
row_24	COL1A2	NA	3269	0.4079889953136444	0.017631494	Yes	
row_25	SCHIP1	NA	3325	0.40276291966438293	0.021932216	Yes	
row_26	PRKCE	NA	3341	0.4008263647556305	0.028155645	Yes	
row_27	FZD2	NA	3424	0.3921718895435333	0.03115854	Yes	
row_28	PRDM2	NA	3718	0.3667583763599396	0.024019156	Yes	
row_29	KALRN	NA	3837	0.3600101172924042	0.025291612	Yes	
row_30	SERPINE1	NA	3894	0.35342898964881897	0.029544268	Yes	
row_31	AKT3	NA	4263	0.3212184011936188	0.018799806	Yes	
row_32	ADGRL2	NA	4267	0.3211217522621155	0.025600048	Yes	
row_33	LAMC1	NA	4580	0.2995468080043793	0.017547376	Yes	
row_34	ICA1	NA	4586	0.299353688955307	0.024251483	Yes	
row_35	IGFBP5	NA	4682	0.2921627461910248	0.026629498	Yes	
row_36	DLG1	NA	4801	0.2848373353481293	0.027901955	Yes	
row_37	NFIB	NA	4850	0.2809302806854248	0.03253915	Yes	
row_38	DYRK1A	NA	4989	0.27097317576408386	0.032850258	Yes	
row_39	SMAD3	NA	5252	0.25535717606544495	0.027200969	Yes	
row_40	MGLL	NA	5371	0.24990500509738922	0.028473428	Yes	
row_41	CAV1	NA	5389	0.24907705187797546	0.03460072	Yes	
row_42	MAGI2	NA	5566	0.2397194504737854	0.033085253	Yes	
row_43	TFPI	NA	5850	0.2237437516450882	0.026426546	Yes	
row_44	CDC42BPA	NA	5928	0.21999497711658478	0.029669778	Yes	
row_45	INPP4B	NA	5973	0.2181384265422821	0.034499247	Yes	
row_46	SMAD7	NA	6170	0.20802664756774902	0.032022424	Yes	
row_47	LDLR	NA	6181	0.20783385634422302	0.038486194	Yes	
row_48	TJP1	NA	6225	0.20542901754379272	0.043363728	Yes	
row_49	WDR37	NA	6327	0.199966698884964	0.045453336	Yes	
row_50	TGFBR3	NA	6611	0.1872769147157669	0.038794626	Yes	
row_51	PEX14	NA	6639	0.18638552725315094	0.044441245	Yes	
row_52	NIPBL	NA	6724	0.18317557871341705	0.047348004	Yes	
row_53	RGS4	NA	7035	0.17071878910064697	0.03939147	Yes	
row_54	AMPH	NA	7165	0.16582384705543518	0.040135182	Yes	
row_55	COL11A1	NA	7190	0.16520270705223083	0.045926	Yes	
row_56	DLC1	NA	7249	0.1624637097120285	0.05008252	Yes	
row_57	COL5A2	NA	7582	0.1498442143201828	0.041068494	Yes	
row_58	SNAI2	NA	7939	0.1364659070968628	0.030900847	Yes	
row_59	GJA1	NA	8106	0.13089928030967712	0.029866057	Yes	
