NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASGRP1	NA	223	1.3636153936386108	-0.004397197	No	
row_1	H2AX	NA	241	1.3307684659957886	0.0011142162	No	
row_2	PTPRD	NA	443	1.1051419973373413	-0.0022247797	No	
row_3	TARS1	NA	473	1.0738822221755981	0.002709433	No	
row_4	BTG2	NA	593	0.9896204471588135	0.003314641	No	
row_5	CNP	NA	994	0.8031492829322815	-0.009596265	No	
row_6	CLTB	NA	1063	0.7794861197471619	-0.006537954	No	
row_7	CXCL2	NA	1104	0.7646682858467102	-0.0021328419	No	
row_8	FGF18	NA	1114	0.7617381811141968	0.0037633716	No	
row_9	UROD	NA	1158	0.7458779215812683	0.008024184	No	
row_10	PPP1R2	NA	1264	0.7145898938179016	0.009302792	No	
row_11	CYB5R1	NA	1353	0.6908929347991943	0.011399102	No	
row_12	RET	NA	1619	0.6276475787162781	0.004981703	No	
row_13	PLCL1	NA	1872	0.5760387182235718	-8.1039534E-4	No	
row_14	BMP2	NA	1940	0.5665690898895264	0.0022960154	No	
row_15	NFKBIA	NA	2054	0.5488705039024353	0.0031898238	No	
row_16	MAPK8IP2	NA	2165	0.5349016785621643	0.0042279325	No	
row_17	MMP14	NA	2326	0.5144058465957642	0.0028610385	No	
row_18	MSX1	NA	2359	0.5099409222602844	0.007650951	No	
row_19	SLC6A8	NA	2381	0.5073057413101196	0.012969964	No	
row_20	ATP6V1C1	NA	2528	0.4877832233905792	0.012276471	No	
row_21	GAL	NA	2760	0.46002888679504395	0.0074944734	No	
row_22	NTRK3	NA	2848	0.4500851631164551	0.009638883	No	
row_23	RAB27A	NA	2974	0.43990087509155273	0.009955491	No	
row_24	HNRNPU	NA	3001	0.43779563903808594	0.015034004	No	
row_25	CCNE1	NA	3033	0.4347848892211914	0.019872017	No	
row_26	BTG3	NA	3109	0.42436569929122925	0.022593627	No	
row_27	COL2A1	NA	3160	0.42014697194099426	0.026517738	No	
row_28	PDLIM3	NA	3217	0.4129474461078644	0.03015325	No	
row_29	ABCB1	NA	3343	0.40081360936164856	0.030469857	No	
row_30	RHOB	NA	3445	0.3897518813610077	0.031940866	No	
row_31	FMO1	NA	3548	0.37900152802467346	0.033363774	No	
row_32	TCHH	NA	3585	0.3757088780403137	0.03796129	No	
row_33	SHOX2	NA	3721	0.36659517884254456	0.037796896	No	
row_34	LHX2	NA	3824	0.36051779985427856	0.039219804	No	
row_35	TFRC	NA	3910	0.35150957107543945	0.041460413	No	
row_36	GGH	NA	3943	0.3477715253829956	0.04625033	No	
row_37	FOS	NA	3969	0.34463420510292053	0.05137694	No	
row_38	PSMC3	NA	4059	0.33739790320396423	0.053425148	No	
row_39	AP2S1	NA	4082	0.335835725069046	0.05869606	No	
row_40	CDC5L	NA	4096	0.33492040634155273	0.064399876	No	
row_41	PDAP1	NA	4328	0.316615492105484	0.059617877	No	
row_42	APOM	NA	4425	0.3099532425403595	0.061329387	No	
row_43	CDO1	NA	4459	0.3073784410953522	0.0660712	No	
row_44	CYB5B	NA	4688	0.291798859834671	0.0614335	No	
row_45	TACR3	NA	4912	0.2759319245815277	0.057036307	No	
row_46	CCND3	NA	5066	0.2661720812320709	0.05600611	No	
row_47	OLFM1	NA	5156	0.2614050805568695	0.05805432	No	
row_48	DNAJB1	NA	5173	0.26048123836517334	0.06361383	No	
row_49	RRAD	NA	5370	0.24990500509738922	0.06051534	No	
row_50	IL6ST	NA	5398	0.2487325519323349	0.06554575	No	
row_51	CDKN1C	NA	5759	0.22951705753803253	0.054558847	No	
row_52	SULT1A1	NA	5816	0.22559618949890137	0.058194358	No	
row_53	AQP3	NA	5921	0.22037771344184875	0.059521068	No	
row_54	SQSTM1	NA	5944	0.21922366321086884	0.064791985	No	
row_55	TAP1	NA	6390	0.19742383062839508	0.049716573	No	
row_56	LYN	NA	6682	0.18414776027202606	0.042048573	No	
row_57	ATP6V1F	NA	7083	0.16924554109573364	0.029137667	No	
row_58	NAT1	NA	7810	0.1413947492837906	5.4614525E-4	No	
row_59	ATF3	NA	7833	0.1407148838043213	0.005817058	No	
row_60	IL6	NA	7852	0.1399361491203308	0.011280372	No	
row_61	HLA-F	NA	7917	0.13704584538936615	0.0145310825	No	
row_62	HSPA13	NA	8076	0.13161693513393402	0.013260389	No	
row_63	RXRB	NA	8589	0.11457148939371109	-0.0050377226	No	
row_64	KLHDC3	NA	8741	0.1096031591296196	-0.0059717163	No	
row_65	CASP3	NA	8919	0.10400260239839554	-0.008156311	No	
row_66	DGAT1	NA	8923	0.10388769954442978	-0.0019714972	No	
row_67	BCL2L11	NA	8985	0.10180846601724625	0.001423514	No	
row_68	NPTXR	NA	9035	0.1003953292965889	0.005395726	No	
