NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUMB	NA	192	1.4260939359664917	0.014625559	Yes	
row_1	NKD1	NA	1027	0.7937004566192627	-0.0014577702	Yes	
row_2	NCSTN	NA	1516	0.6492946147918701	-9.908265E-4	Yes	
row_3	WNT6	NA	2014	0.5535978078842163	-9.5438113E-4	Yes	
row_4	CTNNB1	NA	2237	0.5270353555679321	0.012236183	Yes	
row_5	AXIN2	NA	2651	0.4720897078514099	0.016290613	Yes	
row_6	PSEN2	NA	2764	0.4598064720630646	0.034742825	Yes	
row_7	HDAC5	NA	2793	0.4552769958972931	0.05721302	Yes	
row_8	JAG1	NA	4492	0.3049568831920624	-1.9815643E-4	Yes	
row_9	NOTCH4	NA	4499	0.3039850890636444	0.023324369	Yes	
row_10	HDAC11	NA	4502	0.30394402146339417	0.047038227	Yes	
row_11	WNT5B	NA	4938	0.27395305037498474	0.050040327	Yes	
row_12	DLL1	NA	5593	0.23805473744869232	0.042566966	Yes	
row_13	GNAI1	NA	6046	0.21468934416770935	0.044755906	Yes	
row_14	PPARD	NA	6115	0.21024416387081146	0.06531277	Yes	
row_15	DVL2	NA	6134	0.20950375497341156	0.0882613	Yes	
row_16	NCOR2	NA	6342	0.19949322938919067	0.102169365	Yes	
row_17	CCND2	NA	7298	0.16048257052898407	0.08029822	No	
row_18	FZD1	NA	8473	0.1171649619936943	0.04795162	No	
row_19	WNT1	NA	8548	0.11548658460378647	0.068221495	No	
row_20	MAML1	NA	9369	0.09130606800317764	0.052807827	No	
row_21	HEY1	NA	9990	0.07321438193321228	0.046960793	No	
row_22	AXIN1	NA	10957	0.04673059284687042	0.02456349	No	
row_23	FZD8	NA	11622	0.031055588275194168	0.016611798	No	
row_24	JAG2	NA	12092	0.02206253632903099	0.017987572	No	
row_25	CSNK1E	NA	12159	0.020908402279019356	0.038640108	No	
row_26	TCF7	NA	12486	0.014269583858549595	0.046856023	No	
row_27	HEY2	NA	13180	-8.23372283775825E-6	0.037517168	No	
row_28	RBPJ	NA	13740	-0.011461945250630379	0.034587957	No	
row_29	PTCH1	NA	13899	-0.01477738842368126	0.050839845	No	
row_30	NOTCH1	NA	14783	-0.033348724246025085	0.03241269	No	
row_31	DKK4	NA	14858	-0.0356576181948185	0.05268256	No	
row_32	CUL1	NA	16011	-0.08201450854539871	0.021388289	No	
row_33	SKP2	NA	16304	-0.09521999955177307	0.031230532	No	
row_34	ADAM17	NA	16738	-0.116332046687603	0.0343283	No	
row_35	DKK1	NA	17292	-0.15432879328727722	0.031686086	No	
row_36	LEF1	NA	18436	-0.2651488184928894	8.223138E-4	No	
row_37	HDAC2	NA	18874	-0.33165058493614197	0.0037287485	No	
row_38	TP53	NA	19027	-0.36310216784477234	0.020267634	No	
row_39	FRAT1	NA	19872	-0.6057826280593872	0.003705973	No	
row_40	KAT2A	NA	20810	-1.6096222400665283	-0.01730417	No	
row_41	MYC	NA	20944	-3.874791383743286	1.4354385E-4	No	
