NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	200		
HALLMARK_HYPOXIA	200	200		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	74		
HALLMARK_MITOTIC_SPINDLE	199	199		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	42		
HALLMARK_TGF_BETA_SIGNALING	54	54		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	87		
HALLMARK_DNA_REPAIR	150	149		
HALLMARK_G2M_CHECKPOINT	200	200		
HALLMARK_APOPTOSIS	161	161		
HALLMARK_NOTCH_SIGNALING	32	32		
HALLMARK_ADIPOGENESIS	200	200		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	200		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	199		
HALLMARK_ANDROGEN_RESPONSE	100	100		
HALLMARK_MYOGENESIS	200	200		
HALLMARK_PROTEIN_SECRETION	96	96		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	97		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	200		
HALLMARK_APICAL_JUNCTION	200	200		
HALLMARK_APICAL_SURFACE	44	44		
HALLMARK_HEDGEHOG_SIGNALING	36	36		
HALLMARK_COMPLEMENT	200	200		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	113		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	105		
HALLMARK_MTORC1_SIGNALING	200	200		
HALLMARK_E2F_TARGETS	200	199		
HALLMARK_MYC_TARGETS_V1	200	200		
HALLMARK_MYC_TARGETS_V2	58	58		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	200		
HALLMARK_INFLAMMATORY_RESPONSE	200	200		
HALLMARK_XENOBIOTIC_METABOLISM	200	200		
HALLMARK_FATTY_ACID_METABOLISM	158	156		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	199		
HALLMARK_GLYCOLYSIS	200	199		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	49		
HALLMARK_P53_PATHWAY	200	200		
HALLMARK_UV_RESPONSE_UP	158	158		
HALLMARK_UV_RESPONSE_DN	144	144		
HALLMARK_ANGIOGENESIS	36	36		
HALLMARK_HEME_METABOLISM	200	200		
HALLMARK_COAGULATION	138	138		
HALLMARK_IL2_STAT5_SIGNALING	199	199		
HALLMARK_BILE_ACID_METABOLISM	112	112		
HALLMARK_PEROXISOME	104	104		
HALLMARK_ALLOGRAFT_REJECTION	200	200		
HALLMARK_SPERMATOGENESIS	135	135		
HALLMARK_KRAS_SIGNALING_UP	200	200		
HALLMARK_KRAS_SIGNALING_DN	200	199		
HALLMARK_PANCREAS_BETA_CELLS	40	40		
