NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.54930097	-4.9187493	0.0	0.0	0.0	2973	tags=69%, list=14%, signal=80%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.25702816	-4.1387706	0.0	0.0	0.0	4409	tags=47%, list=21%, signal=58%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.23287451	-3.789675	0.0	0.0	0.0	3758	tags=41%, list=18%, signal=49%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	149	-0.2070937	-2.944087	0.0	0.0	0.0	5535	tags=47%, list=26%, signal=63%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	199	-0.17227638	-2.80527	0.0	0.0	0.0	8111	tags=56%, list=39%, signal=90%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.22665952	-2.79264	0.0	0.0	0.0	6216	tags=52%, list=30%, signal=74%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	199	-0.15395957	-2.5540142	0.0	1.5873015E-4	0.001	4912	tags=39%, list=23%, signal=50%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	156	-0.1775165	-2.5182233	0.0	2.7281744E-4	0.002	4367	tags=38%, list=21%, signal=48%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	-0.20447733	-2.3497443	0.0	0.0012959559	0.01	3296	tags=36%, list=16%, signal=43%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	-0.1400405	-2.2773933	0.0	0.00236703	0.02	1704	tags=22%, list=8%, signal=24%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	200	-0.13654426	-2.2297938	0.003984064	0.0030415403	0.027	4814	tags=37%, list=23%, signal=47%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	49	-0.25026292	-2.0396795	0.0	0.00900844	0.088	5031	tags=49%, list=24%, signal=64%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	200	-0.12388858	-2.026023	0.0019267823	0.008968135	0.095	3296	tags=28%, list=16%, signal=33%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	200	-0.11791885	-1.9268391	0.0078125	0.015559635	0.17	4572	tags=34%, list=22%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.10974578	-1.840436	0.011583012	0.024415983	0.275	3303	tags=27%, list=16%, signal=31%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.1331147	-1.5144674	0.062374245	0.12336529	0.828	5299	tags=39%, list=25%, signal=51%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	158	-0.1040465	-1.5050507	0.076767676	0.121869706	0.844	2876	tags=24%, list=14%, signal=28%	
