NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	0.20325814	3.3384786	0.0	0.0	0.0	4161	tags=40%, list=20%, signal=49%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.14531015	2.341323	0.0	0.00523988	0.013	5300	tags=40%, list=25%, signal=53%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	0.13112819	2.1677656	0.0	0.012497566	0.046	3910	tags=32%, list=19%, signal=39%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	200	0.11335453	1.8786675	0.010570824	0.053244308	0.232	9378	tags=56%, list=45%, signal=100%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	161	0.11589123	1.7274119	0.018595042	0.0939452	0.433	3445	tags=28%, list=16%, signal=33%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	200	0.0990852	1.6445057	0.04032258	0.12026076	0.583	12921	tags=72%, list=62%, signal=185%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	100	0.118593626	1.4186838	0.09315589	0.2889908	0.913	3392	tags=28%, list=16%, signal=33%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	200	0.08415557	1.4048502	0.10172745	0.26684287	0.927	10717	tags=60%, list=51%, signal=121%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.095162	1.3505863	0.11717172	0.29143083	0.962	12421	tags=69%, list=59%, signal=168%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	0.12737688	1.294163	0.15984406	0.32608536	0.986	3851	tags=31%, list=18%, signal=38%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	0.18311656	1.2930851	0.14623655	0.29764056	0.986	10135	tags=67%, list=48%, signal=129%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.14201312	1.2164369	0.22328244	0.35997972	0.995	6342	tags=44%, list=30%, signal=64%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	200	0.072432026	1.1884521	0.22016461	0.3683269	0.997	13474	tags=72%, list=64%, signal=198%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	199	0.06956054	1.144725	0.2798354	0.39827615	0.999	5398	tags=33%, list=26%, signal=44%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	200	0.06775881	1.1067061	0.32489452	0.4207394	1.0	7915	tags=45%, list=38%, signal=71%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	0.134317	0.9737637	0.44698545	0.5906838	1.0	12378	tags=73%, list=59%, signal=177%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	44	0.11639358	0.90832365	0.5625	0.65726346	1.0	8516	tags=52%, list=41%, signal=88%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.102169365	0.78761005	0.7237354	0.8119885	1.0	6342	tags=40%, list=30%, signal=58%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	0.066452436	0.71624064	0.8278689	0.86912376	1.0	8244	tags=46%, list=39%, signal=75%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	200	0.030740304	0.5069319	0.98956156	0.9886482	1.0	6693	tags=35%, list=32%, signal=51%	
