NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H1-4	NA	1	0.7539213299751282	0.037530713	Yes	
row_1	H1-3	NA	2	0.6829494833946228	0.071572326	Yes	
row_2	H2AC7	NA	18	0.4014430344104767	0.090854876	Yes	
row_3	ATF3	NA	20	0.4011898636817932	0.110803686	Yes	
row_4	H1-2	NA	21	0.400330126285553	0.13075814	Yes	
row_5	EGR1	NA	24	0.384009450674057	0.1498021	Yes	
row_6	H2AC17	NA	34	0.34036919474601746	0.16633138	Yes	
row_7	ZC3H6	NA	58	0.3038039207458496	0.18035917	Yes	
row_8	H2AC13	NA	63	0.2947203814983368	0.19485554	Yes	
row_9	TXNIP	NA	65	0.29297059774398804	0.20941016	Yes	
row_10	MKRN3	NA	70	0.28841903805732727	0.22359245	Yes	
row_11	NFYC-AS1	NA	72	0.2878211736679077	0.23789039	Yes	
row_12	TOB1-AS1	NA	101	0.2587757706642151	0.2494313	Yes	
row_13	H4C8	NA	112	0.25187021493911743	0.26150084	Yes	
row_14	H3C12	NA	155	0.2279847115278244	0.2708281	Yes	
row_15	MYLIP	NA	219	0.20835702121257782	0.27815866	Yes	
row_16	H4C5	NA	228	0.2061322182416916	0.28804538	Yes	
row_17	H2BC17	NA	260	0.2003479152917862	0.29652846	Yes	
row_18	NFKBIZ	NA	273	0.195517897605896	0.30569217	Yes	
row_19	DDIT3	NA	307	0.18689286708831787	0.3134076	Yes	
row_20	GADD45B	NA	316	0.1828605979681015	0.32213435	Yes	
row_21	CDC25C	NA	382	0.17180052399635315	0.32754576	Yes	
row_22	H4C2	NA	421	0.16637426614761353	0.333996	Yes	
row_23	H3C10	NA	455	0.16304059326648712	0.34052253	Yes	
row_24	H2BC7	NA	501	0.15667855739593506	0.34615004	Yes	
row_25	INTS6-AS1	NA	532	0.15287911891937256	0.35231555	Yes	
row_26	ING3	NA	584	0.14758801460266113	0.35719898	Yes	
row_27	KLLN	NA	749	0.13237494230270386	0.35584453	Yes	
row_28	TRAPPC6B	NA	758	0.13203439116477966	0.36203784	Yes	
row_29	NEAT1	NA	769	0.13100744783878326	0.368083	Yes	
row_30	TYW5	NA	809	0.12812121212482452	0.372578	Yes	
row_31	DLGAP1-AS2	NA	1009	0.11800361424684525	0.36881	Yes	
row_32	TOB1	NA	1081	0.1141778826713562	0.3710583	Yes	
row_33	MYSM1	NA	1160	0.11038778722286224	0.3727782	Yes	
row_34	SOCS1	NA	1263	0.1062876284122467	0.37312993	Yes	
row_35	NR3C1	NA	1314	0.10447940975427628	0.3759131	Yes	
row_36	KLF6	NA	1392	0.10135334730148315	0.37723118	Yes	
row_37	ST7L	NA	1451	0.0992826521396637	0.3793674	Yes	
row_38	SLC3A2	NA	1581	0.09508760273456573	0.37785158	Yes	
row_39	ZNF397	NA	1596	0.0945238396525383	0.38188425	Yes	
row_40	NFAT5	NA	1601	0.09445765614509583	0.38639852	Yes	
row_41	ERI2	NA	1706	0.09107598662376404	0.38589504	Yes	
row_42	LINC01029	NA	1837	0.08669985085725784	0.38391265	Yes	
row_43	MBD6	NA	1852	0.08630554378032684	0.38753566	Yes	
row_44	NR1H3	NA	1858	0.08611238747835159	0.39158547	Yes	
row_45	H4C3	NA	2044	0.08143585175275803	0.38667363	Yes	
row_46	TRIP11	NA	2054	0.08124352991580963	0.3902868	Yes	
row_47	SNHG32	NA	2115	0.07916363328695297	0.39132318	Yes	
row_48	IPP	NA	2269	0.07587231695652008	0.38768578	Yes	
row_49	ZSCAN12	NA	2284	0.07545239478349686	0.3907678	Yes	
row_50	CSNK1G3	NA	2317	0.07489605247974396	0.39294928	Yes	
row_51	INTS6	NA	2381	0.0735824778676033	0.393562	Yes	
row_52	GFI1B	NA	2455	0.07198020815849304	0.39360994	Yes	
row_53	ANKRD13C	NA	2470	0.0717848539352417	0.39650917	Yes	
row_54	BRD2	NA	2504	0.07111610472202301	0.3984537	Yes	
row_55	ZNF830	NA	2575	0.06992313265800476	0.3985446	Yes	
row_56	GIHCG	NA	2591	0.06962963938713074	0.4012879	Yes	
row_57	PTEN	NA	2720	0.06697645783424377	0.3984194	Yes	
row_58	DNAJB4	NA	2751	0.06629637628793716	0.40026918	Yes	
row_59	PLEKHM3	NA	2841	0.06450957804918289	0.39916888	Yes	
row_60	AGPAT4	NA	2852	0.06428917497396469	0.40188846	Yes	
row_61	PIGV	NA	2977	0.062254853546619415	0.39897856	Yes	
row_62	AUNIP	NA	2986	0.062140218913555145	0.401688	Yes	
row_63	H2AX	NA	3014	0.06176867336034775	0.40345758	Yes	
row_64	ARRDC3	NA	3037	0.06135746091604233	0.40544912	Yes	
row_65	AKIRIN2	NA	3076	0.06087229773402214	0.40664062	Yes	
row_66	SNHG1	NA	3251	0.058185845613479614	0.4011033	No	
row_67	ADARB1	NA	3257	0.05804876983165741	0.40375426	No	
row_68	BAZ2B	NA	3282	0.05765914171934128	0.40546447	No	
row_69	TUBGCP3	NA	3715	0.051582593470811844	0.3870871	No	
row_70	ZSCAN16-AS1	NA	3733	0.05125930905342102	0.3888178	No	
row_71	STK17B	NA	3961	0.04801025986671448	0.3802032	No	
row_72	REXO5	NA	4001	0.04755432531237602	0.38068235	No	
row_73	BTG1	NA	4158	0.045797429978847504	0.3754004	No	
row_74	C11orf54	NA	4176	0.045663077384233475	0.3768521	No	
row_75	RFX3	NA	4243	0.04471337050199509	0.37588036	No	
row_76	CSNK1A1	NA	4250	0.04462134465575218	0.37781358	No	
row_77	HERPUD1	NA	4261	0.044434256851673126	0.37954348	No	
row_78	ZNF681	NA	4319	0.043657105416059494	0.3789555	No	
row_79	TRIP4	NA	4384	0.042795728892087936	0.3779852	No	
row_80	GARS1	NA	4477	0.0417308434844017	0.375604	No	
row_81	SAV1	NA	4491	0.04159678891301155	0.377047	No	
row_82	COG4	NA	4498	0.04152088984847069	0.37882566	No	
row_83	UBE2S	NA	4516	0.04128919914364815	0.38005936	No	
row_84	TANK	NA	4605	0.040276702493429184	0.37779966	No	
row_85	BTK	NA	4671	0.03939181566238403	0.37661117	No	
row_86	TMEM168	NA	4717	0.038844767957925797	0.37636527	No	
row_87	LINC00869	NA	4726	0.038729406893253326	0.37790778	No	
row_88	UBE3B	NA	4776	0.038167793303728104	0.37743416	No	
row_89	BMERB1	NA	4846	0.03760622814297676	0.3759627	No	
row_90	CSPP1	NA	4853	0.037548478692770004	0.37754336	No	
