NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	NA	286	1.2607733011245728	0.007985324	Yes	
row_1	TMEM8B	NA	483	1.0592927932739258	0.01682945	Yes	
row_2	MPZL2	NA	494	1.0488805770874023	0.034458507	Yes	
row_3	EPB41L2	NA	520	1.0315076112747192	0.051064625	Yes	
row_4	SYMPK	NA	619	0.9683487415313721	0.06306177	Yes	
row_5	INSIG1	NA	678	0.9304239749908447	0.07633195	Yes	
row_6	EGFR	NA	683	0.9272356629371643	0.09214975	Yes	
row_7	PTEN	NA	734	0.9070835709571838	0.1054025	Yes	
row_8	ACTN2	NA	740	0.9056748151779175	0.12079981	Yes	
row_9	FYB1	NA	741	0.9054613709449768	0.13643442	Yes	
row_10	CADM2	NA	826	0.8644152283668518	0.1473117	Yes	
row_11	ADAMTS5	NA	881	0.8419162631034851	0.15924641	Yes	
row_12	ALOX15B	NA	889	0.8395817875862122	0.17340611	Yes	
row_13	RRAS	NA	1004	0.8004463911056519	0.18173292	Yes	
row_14	ITGB1	NA	1276	0.71098792552948	0.18094805	Yes	
row_15	STX4	NA	1400	0.6736461520195007	0.18665163	Yes	
row_16	GNAI2	NA	1451	0.6629782319068909	0.19568941	Yes	
row_17	NF1	NA	1584	0.6357342004776001	0.20030458	Yes	
row_18	TSPAN4	NA	1649	0.6209658980369568	0.20794217	Yes	
row_19	NECTIN2	NA	1674	0.6166766285896301	0.21743359	Yes	
row_20	IRS1	NA	1679	0.615792453289032	0.2278737	Yes	
row_21	B4GALT1	NA	1921	0.5703056454658508	0.22610559	Yes	
row_22	CD276	NA	1925	0.5694812536239624	0.23579423	Yes	
row_23	CDH6	NA	2047	0.5492977499961853	0.23944707	Yes	
row_24	NRTN	NA	2234	0.5271831750869751	0.23958524	Yes	
row_25	NFASC	NA	2383	0.5073057413101196	0.24121167	Yes	
row_26	CDSN	NA	2397	0.5047759413719177	0.24930108	Yes	
row_27	SLC30A3	NA	2405	0.5040677785873413	0.25766745	Yes	
row_28	PBX2	NA	2436	0.5010546445846558	0.26487324	Yes	
row_29	DSC3	NA	2518	0.48890239000320435	0.26941112	Yes	
row_30	HADH	NA	3127	0.42242878675460815	0.24740118	Yes	
row_31	SKAP2	NA	3192	0.41626662015914917	0.2515042	Yes	
row_32	PDZD3	NA	3378	0.396932452917099	0.24944153	Yes	
row_33	CADM3	NA	3389	0.3962286710739136	0.25580126	Yes	
row_34	RSU1	NA	3628	0.37275099754333496	0.25076655	Yes	
row_35	ADAM23	NA	3802	0.3616093099117279	0.24867232	Yes	
row_36	SRC	NA	3809	0.3613678812980652	0.25462288	Yes	
row_37	FSCN1	NA	3976	0.3437052071094513	0.25255686	Yes	
row_38	CD86	NA	4056	0.33769553899765015	0.25458026	Yes	
row_39	CD34	NA	4070	0.33668649196624756	0.25976726	Yes	
row_40	NEGR1	NA	4169	0.3296591341495514	0.26073614	Yes	
row_41	JUP	NA	4242	0.3233674168586731	0.2628495	Yes	
row_42	AKT3	NA	4263	0.3212184011936188	0.26743206	Yes	
row_43	ITGA10	NA	4310	0.31730833649635315	0.27069393	Yes	
