NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARID2	NA	46	2.0220534801483154	0.011367058	No	
row_1	NEAT1	NA	186	1.4328069686889648	0.014234957	No	
row_2	ST7L	NA	190	1.428739309310913	0.023704775	No	
row_3	ACYP1	NA	314	1.2293601036071777	0.025983302	No	
row_4	GTF2IP12	NA	325	1.2143208980560303	0.033668775	No	
row_5	MYNN	NA	358	1.1884589195251465	0.040107798	No	
row_6	RPL35A	NA	424	1.1252611875534058	0.044512894	No	
row_7	ZDHHC4	NA	444	1.102697730064392	0.05100839	No	
row_8	PXMP2	NA	499	1.0472159385681152	0.055424396	No	
row_9	VPS8	NA	549	1.0175092220306396	0.05988419	No	
row_10	LRR1	NA	611	0.9739547967910767	0.06346591	No	
row_11	SNX15	NA	730	0.9070867896080017	0.06381912	No	
row_12	LIMD1-AS1	NA	738	0.9059301018714905	0.06957521	No	
row_13	UBALD2	NA	742	0.9046168923377991	0.07551745	No	
row_14	OGFRL1	NA	785	0.8823639154434204	0.07940888	No	
row_15	SLC40A1	NA	825	0.8644152283668518	0.08332573	No	
row_16	RBMS3	NA	886	0.8404335975646973	0.08605753	No	
row_17	PLXDC1	NA	910	0.8305529356002808	0.09052639	No	
row_18	AVL9	NA	1011	0.7991064190864563	0.09103025	No	
row_19	MAPKAPK5-AS1	NA	1025	0.7953988909721375	0.09574995	No	
row_20	SLC8A1-AS1	NA	1135	0.7569423317909241	0.09553133	No	
row_21	CELF3	NA	1157	0.7463089823722839	0.09953068	No	
row_22	CALCOCO2	NA	1160	0.7452638149261475	0.104449145	No	
row_23	DZANK1	NA	1189	0.7368658185005188	0.10804372	No	
row_24	DPH6	NA	1239	0.7204945087432861	0.11050448	No	
row_25	PPP6R3	NA	1339	0.6964928507804871	0.11036645	No	
row_26	DNAJC28	NA	1385	0.6804638504981995	0.11275276	No	
row_27	SLC11A1	NA	1409	0.6710916757583618	0.11614837	No	
row_28	BMF	NA	1483	0.6563779711723328	0.11700772	No	
row_29	SCNM1	NA	1527	0.6471256613731384	0.11926713	No	
row_30	THADA	NA	1574	0.6374512314796448	0.1213152	No	
row_31	JRK	NA	1588	0.6349267959594727	0.12495486	No	
row_32	OLAH	NA	1675	0.6164507865905762	0.12491179	No	
row_33	IQGAP3	NA	1681	0.6156203746795654	0.12881146	No	
row_34	GORAB	NA	1704	0.6099825501441956	0.13184454	No	
