NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MON2	NA	76	1.8300342559814453	0.006771933	No	
row_1	KIF1B	NA	476	1.0686122179031372	-0.0019462552	No	
row_2	GNAS	NA	677	0.9306305050849915	-0.0011209942	No	
row_3	EGFR	NA	683	0.9272356629371643	0.009055887	No	
row_4	ATP1A1	NA	932	0.822542130947113	0.007579211	No	
row_5	CLTA	NA	1718	0.6065911650657654	-0.01965039	No	
row_6	VAMP4	NA	2109	0.5401214361190796	-0.027936965	No	
row_7	CLTC	NA	2129	0.5386178493499756	-0.018431481	No	
row_8	PAM	NA	2384	0.507277250289917	-0.0201959	No	
row_9	ATP6V1H	NA	2614	0.4772832691669464	-0.020761393	No	
row_10	SSPN	NA	2946	0.44154274463653564	-0.026218504	No	
row_11	GLA	NA	2984	0.4397938549518585	-0.017576246	No	
row_12	SCAMP1	NA	3366	0.3983055651187897	-0.025431208	No	
row_13	ARFGAP3	NA	3555	0.3787805736064911	-0.024030462	No	
row_14	DST	NA	3698	0.3684559762477875	-0.020423694	No	
row_15	SH3GL2	NA	3907	0.35177868604660034	-0.019982088	No	
row_16	TOM1L1	NA	4051	0.33774334192276	-0.016423278	No	
row_17	AP2S1	NA	4082	0.335835725069046	-0.007445321	No	
row_18	VPS45	NA	4130	0.33234214782714844	7.1736565E-4	No	
row_19	ICA1	NA	4586	0.299353688955307	-0.010686416	No	
row_20	RAB5A	NA	4836	0.28173089027404785	-0.012211049	No	
row_21	RAB2A	NA	5087	0.2652583122253418	-0.01378364	No	
row_22	SEC22B	NA	5122	0.2632552981376648	-0.004997512	No	
row_23	GALC	NA	5215	0.25752273201942444	0.0010071083	No	
row_24	TMED10	NA	5345	0.2513050436973572	0.0052373186	No	
row_25	RER1	NA	5807	0.226005420088768	-0.0064542056	No	
row_26	CAV2	NA	6051	0.21443305909633636	-0.0076910965	No	
row_27	KRT18	NA	6630	0.18676787614822388	-0.024993593	No	
row_28	ABCA1	NA	6777	0.1807793229818344	-0.021578653	No	
row_29	GOSR2	NA	6865	0.17711640894412994	-0.015334247	No	
row_30	ATP6V1B1	NA	7104	0.168025404214859	-0.016331352	No	
row_31	BET1	NA	7245	0.16255459189414978	-0.012628671	No	
row_32	COPE	NA	7364	0.15776632726192474	-0.007870933	No	
row_33	MAPK1	NA	7538	0.15168070793151855	-0.005750832	No	
row_34	GOLGA4	NA	7750	0.1433492749929428	-0.0054530986	No	
row_35	STX12	NA	8034	0.13339582085609436	-0.008608271	No	
row_36	SEC24D	NA	8080	0.13150878250598907	-3.496703E-4	No	
row_37	COPB1	NA	8197	0.12718091905117035	0.004503981	No	
row_38	ERGIC3	NA	8227	0.12618525326251984	0.013529894	No	
row_39	ANP32E	NA	8648	0.11283884942531586	0.0038046087	No	
row_40	IGF2R	NA	8703	0.11116203665733337	0.011631596	No	
row_41	YIPF6	NA	8764	0.10917410999536514	0.019170841	No	
row_42	TSPAN8	NA	9007	0.10112104564905167	0.017981907	No	
row_43	NAPA	NA	9065	0.09957587718963623	0.025665022	No	
row_44	ARFGEF2	NA	9556	0.08577709645032883	0.012582745	No	
row_45	STX7	NA	9967	0.07396122813224792	0.0033370303	No	
row_46	RAB14	NA	10838	0.0505678653717041	-0.027968919	No	
row_47	LAMP2	NA	11767	0.02817663364112377	-0.062056374	No	
row_48	SNAP23	NA	12077	0.02212967909872532	-0.066458434	No	
row_49	DOP1A	NA	12214	0.01939004845917225	-0.06256392	No	
row_50	TMX1	NA	12491	0.014151412062346935	-0.06538339	No	
row_51	CLCN3	NA	12897	0.005069610197097063	-0.07438932	No	
row_52	TPD52	NA	12968	0.0038093605544418097	-0.067329645	No	
row_53	VPS4B	NA	13668	-0.009969539009034634	-0.090434946	No	
row_54	CD63	NA	13968	-0.016124103218317032	-0.09435743	No	
row_55	SNX2	NA	14166	-0.020590277388691902	-0.0933883	No	
row_56	COG2	NA	14180	-0.020821694284677505	-0.083595075	No	
row_57	ARFIP1	NA	14376	-0.024329515174031258	-0.08253003	No	
row_58	STX16	NA	15251	-0.050139229744672775	-0.114027806	No	
row_59	TMED2	NA	15650	-0.06551161408424377	-0.12269803	Yes	
row_60	VAMP7	NA	15659	-0.06592600047588348	-0.11266503	Yes	
row_61	TSG101	NA	15688	-0.06707418709993362	-0.10359115	Yes	
row_62	SGMS1	NA	15745	-0.06933078169822693	-0.09586008	Yes	
row_63	LMAN1	NA	15809	-0.07178372889757156	-0.08846471	Yes	
row_64	ARFGEF1	NA	15833	-0.07345709204673767	-0.07915105	Yes	
row_65	CLN5	NA	16017	-0.08235853910446167	-0.07751052	Yes	
row_66	ARF1	NA	16117	-0.08637192845344543	-0.0718416	Yes	
row_67	DNM1L	NA	16310	-0.09547796100378036	-0.07063268	Yes	
row_68	SOD1	NA	16377	-0.09844214469194412	-0.06338118	Yes	
row_69	AP1G1	NA	16663	-0.11274309456348419	-0.06663226	Yes	
row_70	OCRL	NA	16864	-0.12358459830284119	-0.06580701	Yes	
row_71	PPT1	NA	16924	-0.12692806124687195	-0.0582198	Yes	
row_72	NAPG	NA	17086	-0.13739216327667236	-0.05552422	Yes	
row_73	STAM	NA	17156	-0.14214347302913666	-0.048416585	Yes	
row_74	ZW10	NA	17321	-0.15700025856494904	-0.045864873	Yes	
row_75	AP2B1	NA	17754	-0.19182993471622467	-0.056165643	Yes	
row_76	RAB9A	NA	17777	-0.19380243122577667	-0.04680403	Yes	
row_77	USO1	NA	17787	-0.19473931193351746	-0.036818974	Yes	
row_78	AP2M1	NA	17990	-0.2135835438966751	-0.03608963	Yes	
row_79	VAMP3	NA	18038	-0.2195853292942047	-0.027926942	Yes	
row_80	ATP7A	NA	18295	-0.24691389501094818	-0.029787274	Yes	
row_81	RPS6KA3	NA	19171	-0.3903059959411621	-0.061333008	Yes	
row_82	RAB22A	NA	19371	-0.4401906728744507	-0.06045979	Yes	
row_83	M6PR	NA	19373	-0.4410983622074127	-0.05009108	Yes	
row_84	AP3B1	NA	19607	-0.5045686960220337	-0.050848402	Yes	
row_85	COPB2	NA	19750	-0.5541127920150757	-0.047241632	Yes	
row_86	ADAM10	NA	19952	-0.6350060105323792	-0.046464328	Yes	
row_87	AP3S1	NA	20022	-0.6704744100570679	-0.039356697	Yes	
row_88	YKT6	NA	20211	-0.7862937450408936	-0.03795595	Yes	
row_89	CTSC	NA	20226	-0.795613706111908	-0.028210683	Yes	
row_90	GBF1	NA	20443	-0.9810713529586792	-0.028152734	Yes	
row_91	SEC31A	NA	20465	-1.0039118528366089	-0.018743165	Yes	
row_92	SCRN1	NA	20487	-1.0315076112747192	-0.009333596	Yes	
row_93	ARCN1	NA	20638	-1.2272921800613403	-0.0061104833	Yes	
row_94	SCAMP3	NA	20660	-1.2621698379516602	0.0032990861	Yes	
row_95	BNIP3	NA	20873	-2.043651580810547	0.0035488626	Yes	
