NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGCS1	NA	18	2.38143253326416	0.0685287	Yes	
row_1	LGALS3	NA	120	1.6307426691055298	0.111207284	Yes	
row_2	IDI1	NA	175	1.460959553718567	0.15119028	Yes	
row_3	TP53INP1	NA	317	1.2227249145507812	0.18006365	Yes	
row_4	CYP51A1	NA	405	1.1350727081298828	0.20896994	Yes	
row_5	CPEB2	NA	784	0.8828985095024109	0.21658748	Yes	
row_6	ANXA5	NA	958	0.815328061580658	0.23205698	Yes	
row_7	STARD4	NA	1013	0.7984753847122192	0.25273627	Yes	
row_8	EBP	NA	1444	0.6638338565826416	0.2514795	Yes	
row_9	CTNNB1	NA	2237	0.5270353555679321	0.22889452	Yes	
row_10	SQLE	NA	2286	0.5199980735778809	0.24174689	Yes	
row_11	HMGCR	NA	2303	0.5175880789756775	0.25606206	Yes	
row_12	PLAUR	NA	2318	0.5154783129692078	0.27041155	Yes	
row_13	ADH4	NA	2549	0.48478254675865173	0.27351883	Yes	
row_14	MVK	NA	2715	0.46445631980895996	0.27914774	Yes	
row_15	SEMA3B	NA	3463	0.387373149394989	0.254649	Yes	
row_16	LSS	NA	3488	0.38564687967300415	0.26473635	Yes	
row_17	GPX8	NA	3523	0.3821948170661926	0.27424407	Yes	
row_18	HSD17B7	NA	3685	0.36935970187187195	0.27729365	Yes	
row_19	CLU	NA	3689	0.36924463510513306	0.28790912	Yes	
row_20	FDFT1	NA	3758	0.36440005898475647	0.2952695	Yes	
row_21	FDPS	NA	3806	0.3614130914211273	0.30354887	Yes	
row_22	LPL	NA	3851	0.35713261365890503	0.31184724	Yes	
row_23	JAG1	NA	4492	0.3049568831920624	0.29007304	No	
row_24	SC5D	NA	4662	0.29320818185806274	0.29052043	No	
row_25	PMVK	NA	5020	0.26940783858299255	0.2812679	No	
row_26	ACSS2	NA	5310	0.2531227469444275	0.2747985	No	
row_27	ALCAM	NA	5541	0.24064324796199799	0.27079198	No	
row_28	GNAI1	NA	6046	0.21468934416770935	0.2529028	No	
row_29	LDLR	NA	6181	0.20783385634422302	0.25253925	No	
row_30	GUSB	NA	7522	0.15207570791244507	0.1927758	No	
row_31	PDK3	NA	7784	0.14222940802574158	0.18441653	No	
row_32	ATF3	NA	7833	0.1407148838043213	0.18621723	No	
row_33	CBS	NA	7965	0.13588622212409973	0.18390098	No	
row_34	FADS2	NA	8030	0.13355271518230438	0.18472646	No	
row_35	CD9	NA	8244	0.1251981109380722	0.17817046	No	
row_36	TM7SF2	NA	8436	0.11822886019945145	0.17246531	No	
row_37	ANXA13	NA	9073	0.09938137233257294	0.14489259	No	
row_38	MVD	NA	9252	0.09488749504089355	0.1391301	No	
row_39	TRIB3	NA	9326	0.09271319210529327	0.13833444	No	
row_40	ANTXR2	NA	9705	0.08124569803476334	0.12259315	No	
row_41	ACAT2	NA	9722	0.08076278120279312	0.12417994	No	
row_42	AVPR1A	NA	9810	0.07846351712942123	0.122298375	No	
row_43	PCYT2	NA	10125	0.06938508152961731	0.1092775	No	
row_44	ETHE1	NA	10325	0.06366905570030212	0.10159932	No	
row_45	SREBF2	NA	11899	0.025502372533082962	0.026985515	No	
row_46	PPARG	NA	12039	0.022826384752988815	0.020991636	No	
row_47	ATF5	NA	12593	0.011995354667305946	-0.005151127	No	
row_48	DHCR7	NA	12964	0.003875960363075137	-0.022763588	No	
row_49	FASN	NA	14299	-0.023065533488988876	-0.08599875	No	
row_50	TNFRSF12A	NA	14373	-0.024215450510382652	-0.08879033	No	
row_51	ECH1	NA	14643	-0.030286505818367004	-0.10079467	No	
row_52	NSDHL	NA	15702	-0.06760244071483612	-0.1495099	No	
row_53	STX5	NA	15852	-0.07466285675764084	-0.15447243	No	
row_54	ABCA2	NA	16220	-0.09104789793491364	-0.16940112	No	
row_55	S100A11	NA	16393	-0.09900069236755371	-0.17475632	No	
row_56	NIBAN1	NA	17191	-0.1458347588777542	-0.20868841	No	
row_57	ERRFI1	NA	17284	-0.1534302681684494	-0.2086251	No	
row_58	PLSCR1	NA	17653	-0.18194884061813354	-0.220953	No	
row_59	MAL2	NA	17786	-0.19462023675441742	-0.22160575	No	
row_60	CHKA	NA	18390	-0.2575317323207855	-0.2429893	No	
row_61	ACTG1	NA	18562	-0.28173089027404785	-0.24297214	No	
row_62	FBXO6	NA	19174	-0.3910311162471771	-0.260849	No	
row_63	PNRC1	NA	19271	-0.41312676668167114	-0.2534102	No	
row_64	LGMN	NA	19527	-0.4811072051525116	-0.2516077	No	
row_65	NFIL3	NA	19861	-0.5973900556564331	-0.25015357	No	
row_66	CXCL16	NA	19928	-0.6244262456893921	-0.23512065	No	
row_67	GSTM2	NA	20119	-0.723365843296051	-0.2231452	No	
row_68	SCD	NA	20126	-0.7264968752861023	-0.20226373	No	
row_69	TMEM97	NA	20207	-0.7838706374168396	-0.18325555	No	
row_70	ALDOC	NA	20753	-1.4499050378799438	-0.16711675	No	
row_71	ATXN2	NA	20856	-1.9395262002944946	-0.11548862	No	
row_72	GLDC	NA	20869	-2.0183756351470947	-0.05725136	No	
row_73	FABP5	NA	20881	-2.091412305831909	0.0031619717	No	
