NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSPP	NA	2	0.6661233305931091	0.030517524	Yes	
row_1	JUN	NA	9	0.5522751808166504	0.055609997	Yes	
row_2	POU4F2	NA	146	0.33355966210365295	0.06438531	Yes	
row_3	HOXA1	NA	191	0.31908276677131653	0.076929234	Yes	
row_4	CREB5	NA	267	0.29698821902275085	0.08696368	Yes	
row_5	TNFSF13B	NA	425	0.2675539553165436	0.09169339	Yes	
row_6	RHD	NA	485	0.25877031683921814	0.10074253	Yes	
row_7	CDC42EP3	NA	541	0.25283730030059814	0.10971178	Yes	
row_8	SCUBE3	NA	553	0.25162890553474426	0.120746076	Yes	
row_9	ISL1	NA	622	0.2446042001247406	0.1287104	Yes	
row_10	ADGRF5	NA	776	0.22892284393310547	0.13185747	Yes	
row_11	ESRRG	NA	869	0.2212490439414978	0.13759176	Yes	
row_12	ACKR1	NA	908	0.21855434775352478	0.14580473	Yes	
row_13	FMO1	NA	950	0.21565291285514832	0.15373978	Yes	
row_14	IL22	NA	957	0.2150694876909256	0.16333485	Yes	
row_15	SYNDIG1	NA	1047	0.20888939499855042	0.1686457	Yes	
row_16	GP2	NA	1219	0.19946032762527466	0.16957119	Yes	
row_17	BSN	NA	1257	0.197642520070076	0.1768713	Yes	
row_18	LIX1	NA	1319	0.1947447657585144	0.18288153	Yes	
row_19	WNT11	NA	1391	0.19105249643325806	0.18824014	Yes	
row_20	NECTIN2	NA	1518	0.18435876071453094	0.19064038	Yes	
row_21	PAX2	NA	1525	0.18421639502048492	0.19881749	Yes	
row_22	RBPMS	NA	1539	0.18365751206874847	0.20663154	Yes	
row_23	ECHDC2	NA	1666	0.17864099144935608	0.20876901	Yes	
row_24	TRIM15	NA	1680	0.17800159752368927	0.21632312	Yes	
row_25	MASP1	NA	1715	0.1766263097524643	0.22280194	Yes	
row_26	HPSE2	NA	1754	0.17545655369758606	0.22903422	Yes	
row_27	CALHM5	NA	1810	0.17315874993801117	0.23434158	Yes	
row_28	TRIM10	NA	1816	0.1729794293642044	0.24205044	Yes	
row_29	EPOR	NA	1924	0.16836385428905487	0.24463129	Yes	
row_30	PLXNB3	NA	1986	0.16615557670593262	0.24932761	Yes	
row_31	PPP2R3A	NA	2005	0.1651497781276703	0.2560501	Yes	
row_32	COL4A4	NA	2070	0.16303683817386627	0.26045853	Yes	
row_33	GATA1	NA	2185	0.15878820419311523	0.26226193	Yes	
row_34	ZBTB7B	NA	2217	0.1580437868833542	0.2680313	Yes	
row_35	GATM	NA	2335	0.15411701798439026	0.26947543	Yes	
row_36	CTNNA3	NA	2375	0.15295232832431793	0.27462527	Yes	
