NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUMB	NA	192	1.4260939359664917	0.027366053	Yes	
row_1	IGF1	NA	198	1.416330099105835	0.063459076	Yes	
row_2	TCF12	NA	222	1.3645806312561035	0.097360425	Yes	
row_3	NFYB	NA	344	1.192467212677002	0.12214181	Yes	
row_4	NR4A3	NA	373	1.1700519323349	0.1508129	Yes	
row_5	CALD1	NA	659	0.939093291759491	0.16122122	Yes	
row_6	KLF7	NA	670	0.9337320923805237	0.18469414	Yes	
row_7	SKA2	NA	790	0.878972053527832	0.20152946	Yes	
row_8	MPPED2	NA	793	0.8765776753425598	0.22392026	Yes	
row_9	HMGB1	NA	963	0.813414990901947	0.23667346	Yes	
row_10	EBF2	NA	1014	0.7982807159423828	0.25475132	Yes	
row_11	MBNL1	NA	1054	0.7838706374168396	0.27298763	Yes	
row_12	ERBB4	NA	1151	0.7504139542579651	0.28762925	Yes	
row_13	ELAVL2	NA	1206	0.7303286194801331	0.3037719	Yes	
row_14	GRIA3	NA	1475	0.657525897026062	0.30777335	Yes	
row_15	GRHL3	NA	1678	0.6163519620895386	0.31388703	Yes	
row_16	INTS12	NA	1918	0.5703056454658508	0.31704324	Yes	
row_17	TLE4	NA	2140	0.5377065539360046	0.3202273	Yes	
row_18	FOXP2	NA	2240	0.5268425941467285	0.32898962	Yes	
row_19	CREB5	NA	2305	0.5174587368965149	0.33919147	Yes	
row_20	NDST4	NA	2329	0.5136905908584595	0.35126498	Yes	
row_21	PLPP1	NA	2375	0.5081242918968201	0.36213952	Yes	
row_22	FLI1	NA	2621	0.4768238365650177	0.3626096	Yes	
row_23	NCAM1	NA	2643	0.4724161922931671	0.3737203	Yes	
row_24	LGI1	NA	2862	0.4481392204761505	0.3747507	Yes	
row_25	ZIC1	NA	2893	0.44539737701416016	0.38473624	Yes	
row_26	CDK6	NA	2947	0.4415113627910614	0.3935179	Yes	
row_27	MBNL2	NA	2988	0.4394218921661377	0.4028701	Yes	
row_28	RING1	NA	3031	0.43545934557914734	0.4120246	Yes	
row_29	HOXA2	NA	3083	0.4276691675186157	0.42054716	Yes	
row_30	SPINK5	NA	3156	0.4201689660549164	0.4278692	Yes	
row_31	GTF2A1	NA	3595	0.37538447976112366	0.41647154	Yes	
row_32	PLA1A	NA	3645	0.3716350197792053	0.4236527	Yes	
row_33	CTNND2	NA	3848	0.3583568334579468	0.42314807	Yes	
row_34	HOXA10	NA	4097	0.3346270024776459	0.41982633	Yes	
row_35	PROX1	NA	4162	0.3298098146915436	0.42521444	Yes	
row_36	SLC5A3	NA	4239	0.3239997327327728	0.4298774	Yes	
row_37	PRDM8	NA	4302	0.3184501826763153	0.43507013	Yes	
row_38	PCLAF	NA	4381	0.3124963343143463	0.439342	Yes	
row_39	SLC2A12	NA	4424	0.3099687397480011	0.44527727	Yes	
row_40	MEIS2	NA	4472	0.3069940507411957	0.45089623	Yes	
row_41	NAV3	NA	4477	0.306462824344635	0.45856586	Yes	
row_42	COL4A6	NA	4645	0.2943122386932373	0.45809856	Yes	
row_43	NLK	NA	4670	0.29247331619262695	0.4644492	Yes	
row_44	RAB3C	NA	4679	0.2922142446041107	0.47156128	Yes	
row_45	NR1D1	NA	4730	0.28924381732940674	0.47658086	Yes	
row_46	NFIB	NA	4850	0.2809302806854248	0.47807464	Yes	
row_47	HOXC6	NA	4886	0.27793851494789124	0.48352432	Yes	
row_48	SALL3	NA	5351	0.25117233395576477	0.46769208	No	
row_49	TCF7L2	NA	5368	0.24993108212947845	0.47333542	No	
row_50	GNAT1	NA	5857	0.2237396240234375	0.45564726	No	
row_51	GSTCD	NA	6201	0.2068183422088623	0.4444861	No	
row_52	SRSF8	NA	6491	0.19234053790569305	0.435546	No	
row_53	WNK4	NA	6504	0.19182993471622467	0.43989092	No	
row_54	DENND4C	NA	6681	0.18418698012828827	0.4361665	No	
row_55	EYA1	NA	6875	0.17681387066841125	0.4314368	No	
row_56	ZMYND8	NA	7140	0.1668141484260559	0.42304206	No	
row_57	EDA	NA	7237	0.16265077888965607	0.4226058	No	
row_58	DACT3	NA	7884	0.13846251368522644	0.39514482	No	
row_59	PDE1B	NA	7903	0.13794158399105072	0.39781928	No	
row_60	SLC1A3	NA	8434	0.11824755370616913	0.37540862	No	
row_61	KCTD15	NA	8571	0.11492230743169785	0.37182766	No	
row_62	EHF	NA	8576	0.11482056975364685	0.37458113	No	
row_63	AMBN	NA	8815	0.10715245455503464	0.36590406	No	
row_64	STARD13	NA	8836	0.10633853077888489	0.36767182	No	
row_65	DCX	NA	8959	0.10251212120056152	0.3644446	No	
row_66	DLG2	NA	9473	0.08823098987340927	0.34208006	No	
row_67	EXT1	NA	9730	0.08053739368915558	0.33185613	No	
